編號,車位類別,車位價格,車位面積平方公尺
RPRPMLQKOHLFFBJ56CC,坡道平面,0,34.06
RPRPMLQKOHLFFBJ56CC,坡道平面,0,34.06
RPPPMLRKOHLFFBJ09CC,坡道平面,0,37.87
RPXNMLLLOHLFFBJ56CC,坡道平面,0,
RPOOMLLLOHLFFBJ38CC,坡道平面,0,
RPPOMLLLOHLFFBJ48CC,坡道平面,0,
RPQOMLLLOHLFFBJ58CC,坡道平面,0,
RPROMLLLOHLFFBJ68CC,坡道平面,0,
RPSOMLLLOHLFFBJ78CC,坡道平面,0,
RPTPMLMLOHLFFBJ09CC,坡道平面,0,
RPUPMLMLOHLFFBJ56CC,坡道平面,0,
RPWPMLMLOHLFFBJ76CC,坡道平面,0,
RPPQMLMLOHLFFBJ78CC,坡道平面,0,
RPWQMLMLOHLFFBJ86CC,坡道平面,0,
RPQRMLMLOHLFFBJ98CC,坡道平面,0,
RPSRMLMLOHLFFBJ56CC,坡道平面,0,
RPSRMLMLOHLFFBJ56CC,坡道平面,0,
RPURMLMLOHLFFBJ76CC,坡道平面,0,
RPSOMLKMOHLFFBJ78CC,坡道平面,0,
