鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大湖鄉,土地,南湖段991~1020地號,3457.0,,山坡地保育區,農牧用地,1050512,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1012,,0.0,0,,RPRNMLQKOHLFFAK78CA
獅潭鄉,土地,八角林段61~90地號,1533.5,,山坡地保育區,農牧用地,1050601,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3473000,2265,,0.0,0,,RPQNMLKLOHLFFAK18CA
獅潭鄉,土地,獅潭段永興小段181~210地號,1850.6,,山坡地保育區,農牧用地,1050521,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,432,,0.0,0,,RPRNMLLLOHLFFAK38CA
大湖鄉,土地,大湖段751~780地號,1000.0,,山坡地保育區,林業用地,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,130,,0.0,0,農保地,RPUNMLMLOHLFFAK78CA
頭屋鄉,房地(土地+建物),苗栗縣頭屋鄉獅潭村13鄰億興街61巷1~30號,134.0,,鄉村區,乙種建築用地,1050602,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0780712,336.6,11,3,4,有,無,2500000,7427,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLQKOHLFFBK78CA
苗栗市,土地,豐年段961~990地號,6.26,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,359794,57475,,0.0,0,畸零地。,RPQNMLRLOHLFFBK98CA
苗栗市,土地,豐年段961~990地號,6.98,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,401176,57475,,0.0,0,畸零地,RPRNMLRLOHLFFBK09CA
苗栗市,土地,豐年段961~990地號,7.05,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,405199,57475,,0.0,0,畸零地,RPSNMLRLOHLFFBK56CA
苗栗市,土地,豐年段961~990地號,7.49,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430488,57475,,0.0,0,畸零地。,RPTNMLRLOHLFFBK66CA
苗栗市,土地,豐年段961~990地號,7.7,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,442558,57475,,0.0,0,畸零地。,RPVNMLRLOHLFFBK86CA
