鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
名間鄉,土地,新�岸U段1201~1230地號,5043.32,,一般農業區,農牧用地,1050503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18500000,3668,,0.0,0,,RPQNMLRKOHLFFAM98CA
南投市,房地(土地+建物),南投縣南投巿仁德路193巷1~30號,89.05,住,,,1050525,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930604,226.43,6,2,4,有,有,10700000,47255,,0.0,0,,RPPNMLTKOHLFFAM09CA
南投市,房地(土地+建物),南投縣南投巿信義街1~30號,13.78,住,,,1050512,土地1建物1車位0,一層，二層，騎樓,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0821110,95.9,1,1,2,有,有,2900000,30240,,0.0,0,,RPUOMLKLOHLFFAM88CA
南投市,房地(土地+建物),南投縣南投巿光明南路72巷91~120號,97.28,住,,,1050526,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811221,142.11,3,2,3,有,無,7900000,55591,,0.0,0,權利人共2人,RPSNMLRLOHLFFAM66CA
草屯鎮,房地(土地+建物),南投縣草屯鎮成功路一段457巷1~30號,80.0,住,,,1050515,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0681006,143.34,4,1,2,有,無,4680000,32650,,0.0,0,,RPRNMLRKOHLFFBM56CA
草屯鎮,土地,屯園段481~510地號,69.51,,特定農業區,農牧用地,1050406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210000,3021,,0.0,0,,RPUNMLKLOHLFFBM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富林路一段29巷31~60號,118.51,住,,,1050516,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951018,192.0,4,3,3,有,有,7360000,38333,,0.0,0,,RPTNMLNLOHLFFBM09CA
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路332巷1~30號,20.4,住,,,1050513,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830310,144.69,3,2,2,有,有,3300000,22807,,0.0,0,,RPPNMLOLOHLFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮新生路391~420號,71.0,住,,,1050530,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040115,162.18,3,2,3,有,無,9900000,61043,,0.0,0,,RPUNMLTLOHLFFBM17CA
埔里鎮,房地(土地+建物),南投縣埔里鎮大成二巷1~30號,67.47,,鄉村區,乙種建築用地,1050506,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0590101,47.2,3,2,1,有,無,2600000,55085,,0.0,0,,RPPNMLRKOHLFFCM09CA
魚池鄉,房地(土地+建物),南投縣魚池鄉有水巷31~60號,66.0,,山坡地保育區,丙種建築用地,1050524,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0700123,20.46,0,0,0,無,無,520000,25415,,0.0,0,,RPPNMLTKOHLFFCM66CA
埔里鎮,土地,大瑪璘段1~30地號,2617.32,,山坡地保育區,農牧用地,1050509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,2674,,0.0,0,,RPPNMLKLOHLFFCM48CA
埔里鎮,房地(土地+建物),南投縣埔里鎮中山路三段241~270號,20.41,住,,,1050526,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0831231,151.35,5,2,4,有,有,3150000,20813,,0.0,0,,RPQNMLKLOHLFFCM58CA
埔里鎮,土地,榮光段1111~1140地號,21245.65,,山坡地保育區,農牧用地,1050601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000000,3765,,0.0,0,,RPOOMLKLOHLFFCM48CA
埔里鎮,房地(土地+建物),南投縣埔里鎮中華路91~120號,12.28,住,,,1050511,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850209,105.27000000000001,3,2,1,有,有,3600000,34198,,0.0,0,,RPPNMLOLOHLFFCM88CA
埔里鎮,土地,忠信段61~90地號,169.55,,鄉村區,乙種建築用地,1050511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,32439,,0.0,0,含未保存房屋一戶,RPQNMLOLOHLFFCM98CA
埔里鎮,土地,桃米坑段1~30地號,381.0,,山坡地保育區,丙種建築用地,1050528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,730000,1916,,0.0,0,,RPPNMLTLOHLFFCM76CA
國姓鄉,土地,中興段1381~1410地號,13.26,其他,,,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000,3771,,0.0,0,親友、員工或其他特殊關係間之交易。為共有土地。,RPRNMLTLOHLFFCM96CA
國姓鄉,土地,北港溪段751~780地號,2500.0,,山坡地保育區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1336000,534,,0.0,0,,RPVNMLPJPHLFFCM86CA
國姓鄉,土地,北港溪段751~780地號,6490.0,,山坡地保育區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2672000,412,,0.0,0,,RPOOMLPJPHLFFCM88CA
國姓鄉,土地,北港溪段751~780地號,3245.0,,山坡地保育區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1336000,412,,0.0,0,,RPPOMLPJPHLFFCM98CA
國姓鄉,土地,北港溪段751~780地號,3245.0,,山坡地保育區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1336000,412,,0.0,0,,RPQOMLPJPHLFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮英四街1~30號,118.99,住,,,1050525,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050406,226.03,4,3,5,有,無,12280000,54329,,0.0,0,,RPUNMLLKPHLFFCM09CA
魚池鄉,土地,銃櫃段61~90地號,8.8,,山坡地保育區,農牧用地,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000,4545,,0.0,0,,RPTNMLNKPHLFFCM56CA
竹山鎮,房地(土地+建物),南投縣竹山鎮和興巷31~60號,79.69,住,,,1050517,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0670713,100.92,3,2,2,有,無,2800000,27745,,0.0,0,,RPQNMLKLOHLFFDM68CA
