鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
彰化市,房地(土地+建物),彰化縣彰化巿永芳路540巷31弄1~30號,67.81,住,,,1050525,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700916,80.0,3,1,2,有,無,3300000,41250,,0.0,0,含增建或未登記建物。,RPSNMLRKOHLFFAN66CA
花壇鄉,土地,花壇段391~420地號,204.24,,鄉村區,乙種建築用地,1050509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850000,9058,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLRKOHLFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化巿中央路17巷1~30號,106.0,住,,,1050505,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0710109,233.59,0,0,0,有,無,9200000,39385,,0.0,0,本建物為毛胚屋，未規劃格局,RPTOMLRKOHLFFAN86CA
彰化市,房地(土地+建物),彰化縣彰化巿向陽街99巷56弄31~60號,144.14,住,,,1050527,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031209,298.96,5,3,4,有,有,15200000,50843,,0.0,0,,RPOOMLOLOHLFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化巿向陽街99巷56弄1~30號,155.14,住,,,1050525,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031209,245.95,5,2,4,有,有,14500000,58955,,0.0,0,,RPPOMLOLOHLFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化巿向陽街99巷56弄1~30號,131.14,住,,,1050531,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031209,245.95,5,2,4,有,有,13500000,54889,,0.0,0,,RPQOMLOLOHLFFAN98CA
彰化市,房地(土地+建物),彰化縣彰化巿向陽街99巷49弄1~30號,82.46,住,,,1050530,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040622,282.43,5,3,6,有,無,13600000,48154,,0.0,0,,RPROMLOLOHLFFAN09CA
彰化市,土地,萬興段601~630地號,58.25,,鄉村區,乙種建築用地,1050604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,529000,9082,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLOLOHLFFAN76CA
彰化市,房地(土地+建物),彰化縣彰化巿彰水路33巷1~30號,71.0,住,,,1050517,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041112,166.49,4,3,3,有,無,7950000,47751,,0.0,0,,RPQPMLOLOHLFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化巿中山路二段391~420號,81.0,住,,,1050405,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土加強磚造,0540701,178.59,3,2,3,有,無,14500000,81192,,0.0,0,含增建或未登記建物。,RPRNMLRLOHLFFAN66CA
和美鎮,土地,大霞段301~330地號,824.17,,鄉村區,乙種建築用地,1050601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,9100,,0.0,0,,RPSNMLRLOHLFFBN86CA
鹿港鎮,土地,鹿洋段211~240地號,3932.96,,特定農業區,農牧用地,1050401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10618000,2700,,0.0,0,,RPUNMLRKOHLFFCN07CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮思源路358巷1~30號,86.0,住,,,1050527,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0941208,182.53,4,3,3,有,無,7880000,43171,,0.0,0,備註：未辦保存登記之建築部分一併移轉在?。,RPPNMLSKOHLFFCN66CA
鹿港鎮,土地,鹿安段841~870地號,1107.0,,特定農業區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4206600,3800,,0.0,0,,RPPNMLKKPHLFFCN58CA
員林鎮,房地(土地+建物),彰化縣員林市員水路二段211~240號,25.0,住,,,1050507,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821201,151.12,3,2,2,有,有,4500000,29778,,0.0,0,,RPTNMLRKOHLFFDN07CA
員林鎮,房地(土地+建物),彰化縣員林市育英路583巷1~30號,91.0,住,,,1050608,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0741211,115.5,4,1,2,有,無,8000000,69264,,0.0,0,含增建或未登記建物。,RPUNMLRKOHLFFDN17CA
員林鎮,土地,民生段331~360地號,7.07,住,,,1050607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,45262,,0.0,0,,RPXNMLLLOHLFFDN96CA
員林鎮,房地(土地+建物),彰化縣員林市員大路二段46巷52弄181~210號,392.55,,特定農業區,甲種建築用地,1050429,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041118,413.27,5,2,5,有,無,19080000,46168,,0.0,0,,RPQNMLMLOHLFFDN98CA
埤頭鄉,土地,周厝崙段451~480地號,1763.0,,特定農業區,農牧用地,1050510,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3737560,2120,,0.0,0,,RPRNMLSKOHLFFFN17CA
北斗鎮,房地(土地+建物),彰化縣北斗鎮東光里斗中路648巷91~120號,325.22,住,,,1050513,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0950713,469.47,24,1,24,有,無,16600000,35359,,0.0,0,,RPRNMLMLOHLFFFN66CA
大城鄉,土地,城潭段721~750地號,5149.0,,一般農業區,農牧用地,1050604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5921350,1150,,0.0,0,,RPRNMLRKOHLFFGN17CA
溪湖鎮,土地,湖東段361~390地號,40.0,住,,,1050520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1066670,26667,,0.0,0,,RPPNMLRKOHLFFHN07CA
埔心鄉,房地(土地+建物),彰化縣埔心鄉永坡路一段136巷1~30號,90.98,,特定農業區,甲種建築用地,1050515,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800809,135.0,7,2,3,有,無,4500000,33333,,0.0,0,,RPRNMLRKOHLFFHN27CA
員林鎮,土地,水源段391~420地號,52.52,其他,,,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,124998,2380,,0.0,0,土地增值稅13734元由承買人繳納,RPQNMLLLOHLFFDN98DA
埤頭鄉,土地,周厝崙段1~30地號,524.25,,鄉村區,乙種建築用地,1050616,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4712966,8990,,0.0,0,,RPUNMLRKOHLFFFN47DA
大城鄉,土地,上豐段511~540地號,3486.0,,一般農業區,農牧用地,1050520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3137400,900,,0.0,0,,RPRNMLQKOHLFFGN17DA
芳苑鄉,土地,芳街段1051~1080地號,1058.25,,一般農業區,農牧用地,1050606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,709,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLKLOHLFFGN66DA
二林鎮,土地,舊趙甲段121~150地號,1540.0,,一般農業區,農牧用地,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,974,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLKLOHLFFGN76DA
花壇鄉,土地,口庄段691~720地號,1258.0,農,,,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,5246,,0.0,0,,RPPNMLKLOHLFFAN48DA
彰化市,土地,聯興段541~570地號,291.5,,特定專用區,特定目的事業用地,1050602,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3070000,10532,,0.0,0,,RPUNMLKLOHLFFAN98DA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿龍山里中山路二段931~960號,35.15,住,,,1050427,土地2建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790509,141.08,3,2,2,有,有,5500000,38985,坡道平面,0.0,0,,RPVNMLMLOHLFFAN66DA
溪湖鎮,土地,光華段271~300地號,498.58,商,,,1050525,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35894764,71994,,0.0,0,,RPUNMLRKOHLFFHN57CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮行政街61~90號,97.14,商,,,1050519,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0970723,295.44,4,3,5,有,無,10600000,35879,,0.0,0,,RPQNMLKMOHLFFHN66CA
溪湖鎮,土地,鳳山段61~90地號,171.5,,特定農業區,農牧用地,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,651700,3800,,0.0,0,移轉持分,RPSNMLOJPHLFFHN07CA
埔心鄉,房地(土地+建物),彰化縣埔心鄉明聖路四段211巷1~30號,101.2,,鄉村區,乙種建築用地,1050314,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041130,172.51,4,3,3,有,有,8700000,50432,,0.0,0,含增建或未登記建物。,RPWNMLRJPHLFFHN77CA
埔心鄉,房地(土地+建物),彰化縣埔心鄉明聖路四段211巷1~30號,106.46,,鄉村區,乙種建築用地,1050314,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041130,172.51,4,3,3,有,有,8800000,51012,,0.0,0,含增建或未登記建物。,RPXNMLRJPHLFFHN87CA
二林鎮,土地,塗子崙段塗子崙小段211~240地號,2439.34,,特定農業區,農牧用地,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1558,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLKLOHLFFGN86CA
埤頭鄉,土地,崙南段1171~1200地號,495.59,住,,,1050526,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13790000,27825,,0.0,0,,RPSNMLRJPHLFFFN17CA
大城鄉,土地,中城段331~360地號,201.01,住,,,1050522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130000,5622,,0.0,0,本買賣案件係屬三親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPQNMLMKPHLFFGN66CA
溪州鄉,房地(土地+建物),彰化縣溪州鄉公平街121~150號,99.44,住,,,1050506,土地1建物1車位0,全,四層,透天厝,住宅,鋼筋混凝土造,1050201,202.02,3,2,3,有,無,7000000,34650,,0.0,0,,RPPNMLKLOHLFFFN88CA
田尾鄉,土地,海豐段1201~1230地號,1570.19,,一般農業區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4530000,2885,,0.0,0,,RPVNMLRKOHLFFFN47CA
員林鎮,房地(土地+建物),彰化縣員林市員東路二段仁愛巷12弄1~30號,87.68,住,,,1050519,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050311,150.28,4,2,3,有,無,9250000,61552,,0.0,0,含增建或未登記建物。,RPSNMLRJPHLFFDN96CA
員林鎮,房地(土地+建物),彰化縣員林市員東路二段仁愛巷12弄1~30號,86.98,住,,,1050519,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050311,149.23,4,2,3,有,無,9380000,62856,,0.0,0,含增建或未登記建物。,RPTNMLRJPHLFFDN07CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉圳腳巷31~60號,920.0,,特定農業區,農牧用地,1050428,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,加強磚造,0820430,424.8,12,4,6,有,無,15680000,,,0.0,0,1.權利人共2人。2.含增建或未登記建物。,RPWNMLRJPHLFFDN37CA
大村鄉,土地,大田段241~270地號,834.67,農,,,1050603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,7188,,0.0,0,,RPQNMLNKPHLFFDN09CA
鹿港鎮,土地,龍山段481~510地號,161.95,商,,,1050511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20600000,127200,,0.0,0,含未登記建物。,RPSNMLLLPHLFFCN09CA
員林鎮,土地,民生段331~360地號,6.56,住,,,1050519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,297000,45274,,0.0,0,,RPVNMLLLOHLFFDN76CA
員林鎮,房地(土地+建物),彰化縣員林市山腳路一段121~150號,172.19,住,,,1050503,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040731,193.23,4,2,5,有,無,11500000,59515,,0.0,0,,RPRNMLPLOHLFFDN76CA
員林鎮,土地,員林段31~60地號,451.0,住,,,1050531,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43380000,96186,,0.0,0,,RPWNMLRKOHLFFDN37CA
員林鎮,土地,中央段1051~1080地號,90.0,,工業區,丁種建築用地,1050515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,20000,,0.0,0,含一棟未保存建物,RPUNMLKLOHLFFDN56CA
員林鎮,土地,復興段1261~1290地號,576.14,住,,,1050527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36599293,63525,,0.0,0,,RPVNMLKLOHLFFDN66CA
員林鎮,房地(土地+建物),彰化縣員林市惠安街1~30號,4.45,住,,,1050427,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810613,33.21,1,1,1,有,無,940000,28305,,0.0,0,,RPWNMLKLOHLFFDN76CA
員林鎮,房地(土地+建物),彰化縣員林市惠安街1~30號,4.45,住,,,1050427,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810613,33.21,1,1,1,有,無,940000,28305,,0.0,0,,SPWNMLKLOHLFFDN86CA
員林鎮,房地(土地+建物),彰化縣員林市惠安街1~30號,4.45,住,,,1050427,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810613,33.21,1,1,1,有,無,950000,28606,,0.0,0,,TPWNMLKLOHLFFDN96CA
福興鄉,房地(土地+建物),彰化縣福興鄉福三路四段381巷22弄1~30號,172.19,,鄉村區,乙種建築用地,1050531,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700101,109.34,0,0,0,無,無,3500000,32010,,0.0,0,,RPSNMLLJPHLFFCN88CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿草路二段559巷3弄31~60號,68.29,,一般農業區,甲種建築用地,1050602,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691227,94.08,3,2,2,有,無,1500000,15944,,0.0,0,,RPTNMLRKOHLFFCN96CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿和路三段209巷1~30號,103.0,,鄉村區,乙種建築用地,1050504,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700703,107.64,3,2,2,有,無,1600000,14864,,0.0,0,,RPPNMLQLOHLFFCN56CA
鹿港鎮,土地,振興段2011~2040地號,1345.0,,特定農業區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,2974,,0.0,0,,RPXNMLKLOHLFFCN76CA
鹿港鎮,土地,頂和段151~180地號,869.0,,特定農業區,農牧用地,1050522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6562990,7552,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLLLOHLFFCN78CA
福興鄉,土地,新生段571~600地號,597.0,,特定農業區,農牧用地,1050501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,3015,,0.0,0,,RPTNMLNLOHLFFCN66CA
福興鄉,土地,新生段571~600地號,597.0,,特定農業區,農牧用地,1050501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2550000,4271,,0.0,0,,RPUNMLNLOHLFFCN76CA
伸港鄉,土地,伸股段271~300地號,200.0,住,,,1050527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3932500,19663,,0.0,0,,RPPNMLSLOHLFFBN66CA
和美鎮,土地,和群段871~900地號,304.39,,特定農業區,甲種建築用地,1050504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7689139,25261,,0.0,0,,RPVNMLSLOHLFFBN27CA
彰化市,房地(土地+建物),彰化縣彰化巿自強南路22巷9弄1~30號,30.31,住,,,1050601,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691229,78.24,3,2,2,有,無,2220000,28374,,0.0,0,,RPTNMLMLOHLFFAN98CA
秀水鄉,土地,金興段691~720地號,1527.0,,特定農業區,農牧用地,1050521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6718800,4400,,0.0,0,,RPROMLNLOHLFFAN98CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿金馬路三段95巷1~30號,15.32,住,,,1050424,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830623,110.37,3,2,2,有,有,3880000,35154,升降機械,7.64,0,,RPVOMLNLOHLFFAN76CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿精誠路181巷9弄1~30號,21.62,住,,,1050505,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801217,132.65,3,2,2,有,有,4700000,35432,坡道機械,8.48,0,,RPPPMLNLOHLFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化巿民生路1~30號,7.01,商,,,1050530,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0720714,47.07,2,1,1,有,無,1600000,33992,,0.0,0,,RPPNMLOLOHLFFAN78CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿太極新村1~30號,58.86,住,,,1050603,土地4建物1車位1,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0980821,183.63,3,2,2,有,有,5357986,29178,坡道平面,0.0,0,國防部眷村改建餘戶, 價售現役士官兵,RPXNMLOLOHLFFAN96CA
芬園鄉,土地,新芬園段811~840地號,316.98,,山坡地保育區,農牧用地,1050525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,342000,1079,,0.0,0,,RPXOMLRLOHLFFAN37CA
彰化市,房地(土地+建物),彰化縣彰化巿陽明街91~120號,79.0,住,,,1050503,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0620815,169.74,5,3,3,有,無,10000000,58914,,0.0,0,含增建或未登記建物。,RPWOMLTLOHLFFAN47CA
彰化市,土地,聖安段271~300地號,219.25,,鄉村區,乙種建築用地,1050520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5630000,25678,,0.0,0,,RPVNMLKMOHLFFAN09CA
芬園鄉,土地,嘉興段241~270地號,933.0,,特定農業區,農牧用地,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,7503,,0.0,0,,RPQNMLLJPHLFFAN48CA
彰化市,房地(土地+建物),彰化縣彰化巿安溪路198巷1~30號,138.95,,山坡地保育區,丙種建築用地,1050516,土地7建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870216,223.35,4,3,3,有,無,6600000,29550,,0.0,0,,RPPNMLNJPHLFFAN58CA
和美鎮,房地(土地+建物),彰化縣和美鎮月眉里西川路121~150號,76.0,,特定農業區,甲種建築用地,1050523,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680110,97.2,4,1,2,有,無,4770000,49074,,0.0,0,含增建或未登記建物。,RPQNMLKLOHLFFBN58CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉大同二街1~30號,160.46,住,,,1050601,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050428,252.54,4,2,5,有,無,10180000,40310,,0.0,0,,RPPNMLLLOHLFFBN58CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉大同二街1~30號,143.78,住,,,1050601,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050428,252.61,5,2,5,有,無,9400000,37212,,0.0,0,,RPQNMLLLOHLFFBN68CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉大同二街1~30號,143.78,住,,,1050601,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050428,252.61,5,2,5,有,無,9400000,37212,,0.0,0,,RPRNMLLLOHLFFBN78CA
