編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLRKOHLFFAN66CA,35,80.00,住家用,加強磚造,70年9月16日,二層,一層 二層
RPTOMLRKOHLFFAN86CA,34,233.59,住商用,鋼筋混凝土造,71年1月9日,四層,一層 二層 三層 四層 騎樓
RPOOMLOLOHLFFAN78CA,1,298.96,見其他登記事項,鋼筋混凝土造,103年12月9日,五層,一層 二層 三層 四層 五層
RPPOMLOLOHLFFAN88CA,1,245.95,見其他登記事項,鋼筋混凝土造,103年12月9日,四層,一層 二層 三層 四層
RPQOMLOLOHLFFAN98CA,1,245.95,見其他登記事項,鋼筋混凝土造,103年12月9日,四層,一層 二層 三層 四層
RPROMLOLOHLFFAN09CA,1,282.43,見其他登記事項,鋼筋混凝土造,104年6月22日,五層,一層 二層 三層 四層 五層 騎樓
RPQPMLOLOHLFFAN09CA,1,166.49,見其他登記事項,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 屋頂突出物
RPRNMLRLOHLFFAN66CA,51,178.59,住商用,鋼筋混凝土加強磚造,54年7月1日,三層,一層 二層 三層 騎樓
RPPNMLSKOHLFFCN66CA,10,182.53,見其他登記事項,鋼筋混凝土造,94年12月8日,四層,一層 二層 三層 四層
RPTNMLRKOHLFFDN07CA,22,120.16,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,五層
RPTNMLRKOHLFFDN07CA,22,16.95,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,
RPTNMLRKOHLFFDN07CA,22,14.00,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,
RPUNMLRKOHLFFDN17CA,30,115.50,住家用,加強磚造,74年12月11日,二層,一層 二層
RPQNMLMLOHLFFDN98CA,,413.27,見其他登記事項,鋼筋混凝土造,104年11月18日,四層,一層 二層 三層 四層
RPRNMLMLOHLFFFN66CA,10,469.47,見其他登記事項,鋼筋混凝土造,95年7月13日,三層,一層 二層 三層
RPRNMLRKOHLFFHN27CA,25,135.00,住家用,鋼筋混凝土造,80年8月9日,三層,一層 二層 三層
RPVNMLMLOHLFFAN66DA,26,141.08,住家用,鋼筋混凝土造,79年5月9日,十八層,六層
RPQNMLKMOHLFFHN66CA,8,295.44,住商用,鋼筋混凝土造,97年7月23日,四層,一層 二層 三層 四層 騎樓
RPWNMLRJPHLFFHN77CA,,172.51,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 屋頂突出物
RPXNMLRJPHLFFHN87CA,,172.51,見其他登記事項,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 屋頂突出物
RPPNMLKLOHLFFFN88CA,,202.02,住宅,鋼筋混凝土造,105年2月1日,四層,一層 二層 三層 四層
RPSNMLRJPHLFFDN96CA,,150.28,見其他登記事項,鋼筋混凝土造,105年3月11日,三層,一層 二層 三層 見其他登記事項
RPTNMLRJPHLFFDN07CA,,149.23,見其他登記事項,鋼筋混凝土造,105年3月11日,三層,一層 二層 三層 見其他登記事項
RPWNMLRJPHLFFDN37CA,23,424.80,農舍,加強磚造,82年4月30日,二層,一層 二層 屋頂突出物
RPRNMLPLOHLFFDN76CA,1,193.23,見其他登記事項,鋼筋混凝土造,104年7月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLKLOHLFFDN76CA,24,23.40,住家用,鋼筋混凝土造,81年6月13日,八層,七層
RPWNMLKLOHLFFDN76CA,24,9.81,見其他登記事項,鋼筋混凝土造,81年6月13日,八層,
SPWNMLKLOHLFFDN86CA,24,23.40,住家用,鋼筋混凝土造,81年6月13日,八層,七層
SPWNMLKLOHLFFDN86CA,24,9.81,見其他登記事項,鋼筋混凝土造,81年6月13日,八層,
TPWNMLKLOHLFFDN96CA,24,23.40,住家用,鋼筋混凝土造,81年6月13日,八層,七層
TPWNMLKLOHLFFDN96CA,24,9.81,見其他登記事項,鋼筋混凝土造,81年6月13日,八層,
RPSNMLLJPHLFFCN88CA,35,109.34,住家用,加強磚造,70年1月1日,二層,一層 二層 騎樓
RPTNMLRKOHLFFCN96CA,35,94.08,住家用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層
RPPNMLQLOHLFFCN56CA,35,107.64,住商用,鋼筋混凝土加強磚造,70年7月3日,二層,一層 二層 騎樓
RPTNMLMLOHLFFAN98CA,35,78.24,住家用,鋼筋混凝土造,69年12月29日,五層,四層
RPVOMLNLOHLFFAN76CA,22,85.78,住家用,鋼筋混凝土造,83年6月23日,十三層,十一層
RPVOMLNLOHLFFAN76CA,22,7.65,停車空間,鋼筋混凝土造,83年6月23日,十三層,地下層
RPVOMLNLOHLFFAN76CA,22,16.94,見其他登記事項,鋼筋混凝土造,83年6月23日,十三層,
RPPPMLNLOHLFFAN88CA,24,9.79,見其他登記事項,鋼筋混凝土造,80年12月17日,十層,
RPPPMLNLOHLFFAN88CA,24,13.16,住家用,鋼筋混凝土造,80年12月17日,十層,
RPPPMLNLOHLFFAN88CA,24,8.49,見其他登記事項,鋼筋混凝土造,80年12月17日,十層,地下層
RPPPMLNLOHLFFAN88CA,24,101.22,住家用,鋼筋混凝土造,80年12月17日,九層,四層
RPPNMLOLOHLFFAN78CA,33,38.04,見其他登記事項,鋼筋混凝土造,72年7月14日,八層,四層
RPPNMLOLOHLFFAN78CA,33,9.03,見其他登記事項,鋼筋混凝土造,72年7月14日,八層,
RPXNMLOLOHLFFAN96CA,7,112.86,見其他登記事項,鋼筋混凝土造,98年8月21日,七層,一層
RPXNMLOLOHLFFAN96CA,7,70.77,見其他登記事項,鋼筋混凝土造,98年8月21日,七層,
RPWOMLTLOHLFFAN47CA,43,169.74,住商用,鋼筋混凝土加強磚造,62年8月15日,三層,一層 二層 三層 騎樓
RPPNMLNJPHLFFAN58CA,18,223.35,住家用,鋼筋混凝土造,87年2月16日,四層,一層 二層 三層 四層
RPQNMLKLOHLFFBN58CA,37,97.20,住家用,鋼筋混凝土加強磚造,68年1月10日,二層,一層 二層 騎樓
RPPNMLLLOHLFFBN58CA,,252.54,住家用,鋼筋混凝土造,105年4月28日,四層,一層 二層 三層 四層
RPQNMLLLOHLFFBN68CA,,252.61,住家用,鋼筋混凝土造,105年4月28日,四層,一層 二層 三層 四層
RPRNMLLLOHLFFBN78CA,,252.61,住家用,鋼筋混凝土造,105年4月28日,四層,一層 二層 三層 四層
RPSNMLLLOHLFFBN88CA,,252.54,住家用,鋼筋混凝土造,105年4月28日,四層,一層 二層 三層 四層
RPWNMLRJPHLFFAN07CA,1,253.08,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
RPOOMLRJPHLFFAN98CA,1,102.74,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
RPOOMLRJPHLFFAN98CA,1,102.74,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層
RPUNMLSLOHLFFAN07CA,33,87.00,住家用,加強磚造,72年3月22日,二層,一層 二層
RPVNMLSLOHLFFAN17CA,25,143.82,住家用,鋼筋混凝土造,79年11月20日,四層,一層 二層 三層 四層
RPOOMLRLOHLFFAN09CA,16,114.58,住家用,鋼筋混凝土造,89年10月20日,十四層,十層
RPOOMLRLOHLFFAN09CA,16,29.17,見其他登記事項,鋼筋混凝土造,89年10月20日,十四層,
RPOOMLKLOHLFFAN38CA,34,64.66,住家用,鋼筋混凝土造,71年11月18日,七層,七層
RPOOMLKLOHLFFAN38CA,34,6.12,見其他登記事項,鋼筋混凝土造,71年11月18日,七層,
RPRNMLMLOHLFFAN78CA,33,105.60,工商用,加強磚造,72年8月9日,二層,一層 二層 騎樓
RPSNMLPLOHLFFDN86CA,3,150.02,見其他登記事項,鋼骨鋼筋混凝土造,102年7月8日,一層,一層 騎樓
RPSNMLNLOHLFFDN66CA,,285.88,見其他登記事項,鋼筋混凝土造,104年10月14日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLRJPHLFFDN47CA,24,124.61,住商用,鋼筋混凝土造,81年1月6日,六層,一層 二層 騎樓
RPXNMLRJPHLFFDN47CA,24,2.35,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPXNMLRJPHLFFDN47CA,24,16.72,見其他登記事項,鋼筋混凝土造,81年1月6日,六層,
RPRNMLLLOHLFFFN56CA,2,273.70,住宅,鋼筋混凝土造,103年5月29日,四層,一層 二層 三層 四層 騎樓
RPRNMLOLOHLFFEN76CA,,169.27,住家用,鋼筋混凝土造,104年12月1日,三層,一層 二層 三層 見其他登記事項
RPRNMLSKPHLFFGN37CA,22,130.10,住家用,鋼筋混凝土造,83年4月26日,三層,一層 二層 三層
RPPNMLLLOHLFFGN09CA,17,140.33,住家用,鋼筋混凝土造,88年5月18日,三層,一層 二層 三層
RPQNMLOLOHLFFHN07DA,32,263.25,住商用,鋼筋混凝土造,73年1月26日,三層,一層 二層 三層 騎樓
RPSNMLMLOHLFFFN86DA,1,335.77,見其他登記事項,鋼筋混凝土造,104年4月27日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLMKPHLFFBN56DA,32,115.36,住家用,加強磚造,73年1月31日,二層,一層 二層
RPWNMLLLOHLFFAN66DA,1,361.78,見其他登記事項,鋼筋混凝土造,104年11月2日,三層,一層 二層 三層 屋頂突出物
RPOOMLMLOHLFFAN68DA,28,74.02,住家用,鋼筋混凝土造,77年1月13日,七層,二層
RPPNMLOLOHLFFHN86CA,12,127.56,住家用,鋼筋混凝土造,93年7月13日,四層,一層 二層 三層 四層
RPSNMLQJPHLFFHN27CA,21,137.24,住商用,鋼筋混凝土造,84年6月15日,三層,一層 二層 三層 騎樓
RPQNMLLJPHLFFHN56CA,27,78.14,工業用,鋼筋混凝土造,78年9月7日,三層,一層 二層 三層
RPQNMLLJPHLFFHN56CA,27,97.31,工業用,鋼筋混凝土造,78年9月7日,三層,一層 二層 三層
RPRNMLMLPHLFFFN76CA,36,86.52,住家用,加強磚造,69年8月30日,二層,一層 二層
RPVNMLNLOHLFFDN96CA,28,155.05,住商用,鋼筋混凝土造,77年5月24日,三層,一層 二層 三層 騎樓
RPSNMLOLOHLFFDN76CA,7,68.20,住家用,鋼筋混凝土造,97年12月1日,五層,一層
RPSNMLOLOHLFFDN76CA,7,20.80,見其他登記事項,鋼筋混凝土造,97年12月1日,五層,
RPTNMLSKPHLFFCN17CA,1,162.55,住家用,鋼筋混凝土造,104年8月18日,三層,一層 二層 三層 屋頂突出物
RPTNMLPJPHLFFBN66CA,42,87.98,住家用,加強磚造,63年5月5日,二層,一層 二層
RPQNMLNLOHLFFCN98CA,17,101.06,見其他登記事項,鋼筋混凝土造,88年1月14日,八層,七層
RPQNMLNLOHLFFCN98CA,17,57.80,見其他登記事項,鋼筋混凝土造,88年1月14日,八層,
RPSNMLSLOHLFFBN96CA,27,139.15,住家用,鋼筋混凝土造,78年8月3日,三層,一層 二層 三層
RPVNMLNLOHLFFAN66CA,36,91.59,住家用,加強磚造,69年9月30日,二層,一層 二層
RPOOMLNLOHLFFAN68CA,22,73.03,住家用,鋼筋混凝土造,83年1月11日,七層,七層
RPOOMLNLOHLFFAN68CA,22,20.88,見其他登記事項,鋼筋混凝土造,83年1月11日,七層,
RPQOMLRLOHLFFAN66CA,39,162.00,住家用,混凝土造,65年12月3日,三層,一層 二層 三層 騎樓
RPWOMLRLOHLFFAN27CA,1,168.04,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,一層 二層 三層 四層
RPUPMLOLOHLFFAN86CA,35,168.43,住商用,鋼筋混凝土造,70年7月24日,四層,一層 二層 三層 四層 騎樓
RPPNMLOJPHLFFAN68CA,20,86.86,住家用,鋼筋混凝土造,85年7月29日,十四層,九層
RPPNMLOJPHLFFAN68CA,20,37.41,見其他登記事項,鋼筋混凝土造,85年7月29日,十四層,
RPPNMLOJPHLFFAN68CA,20,40.61,見其他登記事項,鋼筋混凝土造,85年7月29日,十四層,
RPPNMLOJPHLFFAN68CA,20,98.78,住家用,鋼筋混凝土造,85年7月29日,十四層,九層
RPROMLTLOHLFFAN96CA,22,106.14,住家用,鋼筋混凝土造,83年2月3日,十三層,十一層
RPROMLTLOHLFFAN96CA,22,35.77,見其他登記事項,鋼筋混凝土造,83年2月3日,十三層,
RPTOMLTLOHLFFAN17CA,36,105.40,住商用,加強磚造,69年11月8日,二層,一層 二層 騎樓
RPPNMLNLOHLFFBN78CA,38,102.40,,鋼筋混凝土加強磚造,67年10月3日,二層,一層 二層 騎樓
RPTNMLLLOHLFFBN98CA,19,172.30,住商用,鋼筋混凝土造,86年2月26日,四層,一層 二層 三層 四層
RPXNMLLKPHLFFAN66CA,,178.08,見其他登記事項,鋼筋混凝土造,105年1月25日,四層,一層 二層 三層 四層
RPSNMLPKPHLFFAN56CA,29,190.65,見其他登記事項,鋼筋混凝土造,76年1月26日,三層,一層 二層 三層 騎樓 地下層
RPUNMLKMOHLFFAN98CA,22,203.28,住家用,鋼筋混凝土造,82年12月28日,四層,一層 二層 三層 四層
RPWOMLKMOHLFFAN66CA,35,102.40,住商用,加強磚造,69年12月25日,二層,一層 二層 騎樓
RPUNMLLJPHLFFAN88CA,38,122.22,住商用,鋼筋混凝土造,67年7月4日,三層,一層 二層 三層 騎樓
RPOOMLLJPHLFFAN38CA,35,106.78,住家用,鋼筋混凝土造,69年12月29日,六層,六層
RPQOMLOJPHLFFAN88CA,22,130.71,住家用,鋼骨鋼筋混凝土造,83年1月12日,十二層,十二層
RPQOMLOJPHLFFAN88CA,22,28.14,見其他登記事項,鋼骨混凝土造,83年1月12日,十二層,
RPQOMLOJPHLFFAN88CA,22,25.20,見其他登記事項,鋼骨鋼筋混凝土造,83年1月12日,十二層,地下一層
