編號,車位類別,車位價格,車位面積平方公尺
RPVNMLMLOHLFFAN66DA,坡道平面,0,
RPVOMLNLOHLFFAN76CA,升降機械,0,7.64
RPPPMLNLOHLFFAN88CA,坡道機械,0,8.48
RPXNMLOLOHLFFAN96CA,坡道平面,0,
RPQNMLNLOHLFFCN98CA,坡道平面,0,
RPQOMLOJPHLFFAN88CA,坡道平面,0,
RPPNMLOLOHLFFDN09CA,其他,0,
RPPNMLOLOHLFFDN09CA,其他,0,
RPQNMLPLOHLFFDN66CA,其他,0,
RPQNMLPLOHLFFDN66CA,其他,0,
RPQNMLRLOHLFFBN66CA,坡道機械,0,
RPTNMLPKPHLFFAN66CA,坡道機械,0,
RPQNMLLKPHLFFAN58CA,升降機械,0,
RPUOMLRLOHLFFAN07CA,坡道機械,0,
RPQNMLSLOHLFFAN66CA,坡道平面,0,
RPRNMLQLOHLFFCN86DA,坡道平面,0,
RPQNMLOKPHLFFAN88CA,坡道機械,0,
RPRNMLLJPHLFFAN58CA,坡道平面,0,
RPRNMLTLOHLFFAN86CA,一樓平面,0,
RPOPMLSKPHLFFAN76DA,升降機械,0,
RPXNMLOKPHLFFDN27CA,坡道機械,0,
RPVOMLSKPHLFFAN27CA,升降機械,0,
