編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLRKOHLFFAO27CA,9,.01,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,一層
RPWOMLRKOHLFFAO27CA,9,21.68,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPWOMLRKOHLFFAO27CA,9,86.91,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,七層
RPWOMLRKOHLFFAO27CA,9,18.32,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPWOMLRKOHLFFAO27CA,9,12.17,見其他登記事項,鋼筋混凝土造,95年12月20日,十三層,
RPPPMLRKOHLFFAO66CA,,103.50,住家用,加強磚造,,二層,一層 二層
RPSNMLLLOHLFFAO88CA,9,25.50,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,二層
RPSNMLLLOHLFFAO88CA,9,12.26,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPSNMLLLOHLFFAO88CA,9,.03,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,一層
RPSNMLLLOHLFFAO88CA,9,.00,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPRPMLMLOHLFFAO09CA,5,69.08,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,六層
RPRPMLMLOHLFFAO09CA,5,21.27,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPRPMLMLOHLFFAO09CA,5,10.74,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPRPMLMLOHLFFAO09CA,5,22.51,共有部分,鋼筋混凝土造,100年3月24日,十二層,
RPRPMLMLOHLFFAO09CA,5,.02,見其他登記事項,鋼筋混凝土造,100年3月24日,十二層,一層
RPVPMLMLOHLFFAO86CA,22,.52,住商用,鋼筋混凝土造,83年4月23日,十四層,一層 二層 三層
RPVPMLMLOHLFFAO86CA,22,.09,共有部分,鋼筋混凝土造,83年4月23日,十四層,
RPVPMLMLOHLFFAO86CA,22,.05,共有部分,鋼筋混凝土造,83年4月23日,二層,
RPVPMLMLOHLFFAO86CA,22,2.29,商業用,鋼筋混凝土造,83年4月23日,一層,地下一層
RPVPMLMLOHLFFAO86CA,22,.16,共有部分,鋼筋混凝土造,83年4月23日,二層,
RPVPMLMLOHLFFAO86CA,22,90.81,住家用,鋼筋混凝土造,83年4月23日,十四層,八層
RPVPMLMLOHLFFAO86CA,22,13.74,共有部分,鋼筋混凝土造,83年4月23日,十四層,
RPVPMLMLOHLFFAO86CA,22,40.11,共有部分,鋼筋混凝土造,83年4月23日,二層,
RPOPMLRLOHLFFAO66CA,23,237.16,住家用,鋼筋混凝土造,82年7月21日,三層,一層 二層 三層
RPSNMLSLOHLFFAO96CA,12,277.04,住家用,鋼筋混凝土造,92年12月8日,五層,一層 二層 三層 四層 五層
