鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
斗六市,房地(土地+建物),雲林縣斗六市中正路1~30號,35.31,商,,,1050606,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850318,252.57999999999998,4,2,2,有,有,5300000,20983,,0.0,0,,RPVNMLQKOHLFFAP07CA
斗六市,房地(土地+建物),雲林縣斗六市明德路451~480號,19.18,住,,,1050513,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831209,139.64,3,2,2,有,有,3500000,25064,,0.0,0,,RPQOMLRKOHLFFAP76CA
斗六市,房地(土地+建物),雲林縣斗六市武陵街31~60號,10.44,住,,,1050602,土地1建物2車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,86.96000000000001,2,1,2,有,有,2200000,25299,,0.0,0,,RPSNMLSKOHLFFAP96CA
林內鄉,土地,仁愛段421~450地號,4534.73,,特定農業區,農牧用地,1050520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3740000,825,,0.0,0,,RPSOMLMKPHLFFAP56CA
斗六市,房地(土地+建物),雲林縣斗六市洛陽路9巷1~30號,12.59,住,,,1050530,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860321,98.86,2,2,1,有,無,2500000,25288,,0.0,0,,RPTOMLMKPHLFFAP66CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮長安路一段7巷1~30號,139.0,住,,,1050509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0801210,248.9,4,3,3,有,無,6080000,24427,,0.0,0,,RPQNMLRKOHLFFBP76CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮五福二街1~30號,13.67,商,,,1050524,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851020,150.74,3,2,2,有,有,2530000,16784,,0.0,0,,RPPNMLNKPHLFFBP98CA
崙背鄉,土地,東興段2401~2430地號,1608.99,,特定農業區,農牧用地,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2413485,1500,,0.0,0,,RPTNMLTLOHLFFCP47CA
虎尾鎮,土地,竹圍子段1171~1200地號,1491.0,,特定農業區,農牧用地,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2012,,0.0,0,,RPVNMLKLOHLFFDP86CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路31~60號,189.66,住,,,1050603,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040709,255.85,4,2,5,有,有,14500000,56674,,0.0,0,,RPWNMLLLOHLFFDP07CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮學府二路301~330號,134.09,住,,,1050525,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040518,202.03,4,2,4,有,無,7980000,39499,,0.0,0,,RPQNMLOLOHLFFDP76CA
虎尾鎮,土地,興安段1141~1170地號,914.52,,特定農業區,農牧用地,1050506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,7108,,0.0,0,,RPVNMLKMOHLFFDP96CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東十一街121~150號,125.84,住,,,1050523,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040311,190.55,4,2,4,有,無,7000000,36736,,0.0,0,,RPWNMLLKPHLFFDP07CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮大屯1~30號,106.28,,鄉村區,乙種建築用地,1050511,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050308,152.62,4,2,3,有,無,4500000,29485,,0.0,0,親友特殊關係間之交易。,RPTNMLOKPHLFFDP07CA
元長鄉,土地,部子段421~450地號,3420.0,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4231200,1237,,0.0,0,,RPUNMLRLOHLFFEP57CA
北港鎮,土地,新南段841~870地號,182.93,其他,,,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720000,3936,,0.0,0,,RPUNMLTLOHLFFEP77CA
東勢鄉,土地,明倫段1141~1170地號,58.0,,鄉村區,乙種建築用地,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430000,7414,,0.0,0,畸零地或有合併使用之交易。,RPWNMLQKOHLFFFP67CA
東勢鄉,土地,龍潭段211~240地號,3800.0,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2356000,620,,0.0,0,,RPXNMLQKOHLFFFP77CA
東勢鄉,土地,四美段151~180地號,1125.0,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,822000,731,,0.0,0,,RPOOMLKLOHLFFFP09CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興化31~60號,1259.16,,一般農業區,農牧用地,1050601,土地2建物1車位0,全,一層,透天厝,農舍,加強磚造,0750222,70.8,3,2,2,有,無,1020821,14418,,0.0,0,二等親間之買賣。,RPOOMLTLOHLFFFP37CA
麥寮鄉,土地,施厝寮段2161~2190地號,1100.0,,一般農業區,農牧用地,1050510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880000,800,,0.0,0,,RPPNMLKKPHLFFFP09CA
斗六市,土地,大崙段大崙小段511~540地號,2519.0,,特定農業區,農牧用地,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,8734,,0.0,0,,RPSNMLRKOHLFFAP96DA
斗南鎮,土地,南昌段991~1020地號,131.0,商,,,1050415,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3288920,25106,,0.0,0,,RPPNMLKMOHLFFBP88DA
西螺鎮,土地,漢北段691~720地號,16.86,住,,,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280452,16634,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLKLOHLFFCP56DA
崙背鄉,房地(土地+建物),雲林縣崙背鄉新生路31~60號,152.4,,特定農業區,甲種建築用地,1050427,土地2建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0830412,151.2,2,3,2,有,無,2600000,17196,,0.0,0,,RPTNMLKLOHLFFCP66DA
口湖鄉,土地,沙崙段211~240地號,1011.67,,一般農業區,農牧用地,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,791,,0.0,0,受債權債務影響或債務抵償之交易。,RPRNMLRLOHLFFEP37DA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉中華路31~60號,17.67,住,,,1050521,土地1建物4車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900409,91.57,2,1,1,有,無,2080000,22715,,0.0,0,,RPSNMLLLOHLFFFP96DA
麥寮鄉,土地,新吉段721~750地號,903.7,,一般農業區,養殖用地,1050524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,722960,800,,0.0,0,親友間買賣,RPPNMLMKPHLFFFP76DA
麥寮鄉,土地,新吉段721~750地號,225.92,,一般農業區,養殖用地,1050524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180736,800,,0.0,0,親友間買賣,RPQNMLMKPHLFFFP86DA
口湖鄉,土地,梧北段481~510地號,2700.11,,,,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1554723,576,,0.0,0,向政府機關承購之案件。,RPVNMLKMOHLFFEP17DA
東勢鄉,土地,新美段511~540地號,1748.07,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1132749,648,,0.0,0,,RPPNMLLLOHLFFFP66DA
東勢鄉,土地,四美段811~840地號,2621.73,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1835211,700,,0.0,0,,RPQNMLLLOHLFFFP76DA
斗六市,房地(土地+建物),雲林縣斗六市正心路1~30號,93.57,,特定農業區,甲種建築用地,1050515,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810830,189.03,4,2,3,有,無,6000000,31741,,0.0,0,,RPTNMLSKOHLFFAP17DA
斗六市,房地(土地+建物),雲林縣斗六市忠孝里永康路1~30號,19.54,住,,,1050519,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840301,109.39999999999999,3,2,2,有,無,2900000,26508,,0.0,0,,RPWNMLOLOHLFFAP17DA
麥寮鄉,土地,豐興段901~930地號,807.29,,一般農業區,養殖用地,1050613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,594165,736,,0.0,0,協議價購,RPXNMLRLOHLFFFP97CA
台西鄉,土地,海口段121~150地號,232.09,住,,,1050602,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1127000,4856,,0.0,0,,RPRNMLLLOHLFFFP76CA
麥寮鄉,土地,山寮段301~330地號,4113.0,,一般農業區,農牧用地,1050606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,1240,,0.0,0,,RPUNMLLLOHLFFFP07CA
麥寮鄉,土地,麥寮段481~510地號,2837.0,,一般農業區,農牧用地,1050503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3998000,1409,,0.0,0,,RPVNMLLLOHLFFFP17CA
水林鄉,土地,西井段1381~1410地號,2288.0,,特定農業區,農牧用地,1050603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1647360,720,,0.0,0,,RPTNMLNLOHLFFEP07CA
水林鄉,土地,西井段1411~1440地號,1656.69,,特定農業區,農牧用地,1050603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1192817,720,,0.0,0,,RPUNMLNLOHLFFEP17CA
元長鄉,土地,義天段721~750地號,3360.07,,特定農業區,農牧用地,1050530,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5173000,1540,,0.0,0,,RPWNMLLLOHLFFEP17CA
口湖鄉,土地,水井段721~750地號,2254.0,,一般農業區,養殖用地,1050613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,577,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLKLOHLFFEP98CA
元長鄉,土地,東湖段271~300地號,3370.51,,特定農業區,農牧用地,1050606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2817746,836,,0.0,0,,RPRNMLKLOHLFFEP56CA
虎尾鎮,土地,過溪子段871~900地號,11056.0,農,,,1050510,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,950,,0.0,0,,RPRNMLMKPHLFFDP66CA
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮工專一街153巷31~60號,77.16,住,,,1050522,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0910220,266.68,4,2,3,有,無,6300000,23624,,0.0,0,,RPWNMLKMOHLFFDP07CA
褒忠鄉,土地,潮洋厝段931~960地號,1409.0,,特定農業區,農牧用地,1050516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160000,823,,0.0,0,,RPQOMLTLOHLFFDP37CA
土庫鎮,土地,菜園段721~750地號,13.0,住,,,1050511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,11538,,0.0,0,,RPQOMLKLOHLFFDP09CA
土庫鎮,土地,港興段871~900地號,1927.0,,特定農業區,農牧用地,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,934,,0.0,0,母女關係間之交易。,RPROMLKLOHLFFDP56CA
崙背鄉,房地(土地+建物),雲林縣崙背鄉正心路1~30號,120.27,住,,,1050526,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840220,209.22,5,3,3,有,無,3220000,15390,,0.0,0,,RPSNMLTLOHLFFCP37CA
西螺鎮,土地,三塊厝段三塊厝小段2101~2130地號,2303.0,,特定農業區,農牧用地,1050524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6102950,2650,,0.0,0,,RPQNMLKLOHLFFCP88CA
西螺鎮,土地,三塊厝段鹿場小段601~630地號,1113.0,,特定農業區,農牧用地,1050606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1797,,0.0,0,,RPPNMLLLOHLFFCP88CA
大埤鄉,土地,大埤段151~180地號,204.0,住,,,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,12255,,0.0,0,,RPPNMLRKOHLFFBP66CA
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路31~60號,149.0,,鄉村區,乙種建築用地,1050531,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0871115,179.06,3,2,2,有,無,5300000,29599,,0.0,0,,RPQNMLKLOHLFFAP68CA
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉延平路151~180號,86.0,住,,,1050503,土地1建物1車位0,全,二層,透天厝,住商用,見其他登記事項,0680625,115.74,2,1,2,有,無,3300000,28512,,0.0,0,,RPQNMLSKOHLFFAP76CA
斗六市,房地(土地+建物),雲林縣斗六市榮譽路961~990號,100.31,,鄉村區,乙種建築用地,1050412,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040419,187.42,5,3,4,有,無,7200000,38416,,0.0,0,,RPRNMLSKOHLFFAP86CA
斗六市,房地(土地+建物),雲林縣斗六市光復路113巷1~30號,28.25,,鄉村區,乙種建築用地,1050425,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820223,78.39,3,2,2,有,無,1650000,21049,,0.0,0,,RPTNMLLLOHLFFAP09CA
