編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLQKOHLFFAP07CA,20,204.78,商業用,鋼筋混凝土造,85年3月18日,八層,五層
RPVNMLQKOHLFFAP07CA,20,47.80,共同部份,鋼筋混凝土造,85年3月18日,八層,
RPQOMLRKOHLFFAP76CA,21,88.49,住家用,鋼筋混凝土造,83年12月9日,九層,三層
RPQOMLRKOHLFFAP76CA,21,51.15,共有部份,鋼筋混凝土造,83年12月9日,九層,
RPSNMLSKOHLFFAP96CA,24,35.35,住家用,鋼筋混凝土造,81年8月26日,六層,五層
RPSNMLSKOHLFFAP96CA,24,6.01,共有部份,鋼筋混凝土造,81年8月26日,六層,
RPSNMLSKOHLFFAP96CA,24,4.02,,鋼筋混凝土造,81年8月26日,六層,
RPSNMLSKOHLFFAP96CA,24,35.80,住家用,鋼筋混凝土造,81年8月26日,六層,五層
RPSNMLSKOHLFFAP96CA,24,5.37,共有部份,鋼筋混凝土造,81年8月26日,六層,
RPSNMLSKOHLFFAP96CA,24,.41,,鋼筋混凝土造,81年8月26日,六層,
RPTOMLMKPHLFFAP66CA,19,76.48,住家用,鋼筋混凝土造,86年3月21日,十三層,五層
RPTOMLMKPHLFFAP66CA,19,11.23,共有部份,鋼筋混凝土造,86年3月21日,十三層,
RPTOMLMKPHLFFAP66CA,19,11.15,共有部份,鋼筋混凝土造,86年3月21日,十三層,
RPQNMLRKOHLFFBP76CA,24,248.90,住家用,鋼筋混凝土造,80年12月10日,三層,一層 二層 三層 電梯樓梯間
RPPNMLNKPHLFFBP98CA,20,116.74,住家用,鋼筋混凝土造,85年10月20日,十一層,四層
RPPNMLNKPHLFFBP98CA,20,25.42,共有部份,鋼筋混凝土造,85年10月20日,十一層,
RPPNMLNKPHLFFBP98CA,20,8.58,見其他登記事項,鋼筋混凝土造,85年10月20日,十一層,
RPWNMLLLOHLFFDP07CA,1,255.85,住家用,鋼筋混凝土造,104年7月9日,四層,一層 二層 三層 四層
RPQNMLOLOHLFFDP76CA,1,202.03,見其他登記事項,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLLKPHLFFDP07CA,1,190.55,見其他登記事項,鋼筋混凝土造,104年3月11日,三層,一層 二層 三層 電梯樓梯間
RPTNMLOKPHLFFDP07CA,,152.62,住家用,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層
RPOOMLTLOHLFFFP37CA,30,70.80,農舍,加強磚造,75年2月22日,一層,一層 騎樓
RPTNMLKLOHLFFCP66DA,22,151.20,,鋼筋混凝土造,83年4月12日,三層,一層 二層 三層
RPSNMLLLOHLFFFP96DA,15,66.46,住家用,鋼筋混凝土造,90年4月9日,九層,七層
RPSNMLLLOHLFFFP96DA,15,13.67,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPSNMLLLOHLFFFP96DA,15,2.45,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPSNMLLLOHLFFFP96DA,15,8.98,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPTNMLSKOHLFFAP17DA,24,189.03,住家用,鋼筋混凝土造,81年8月30日,三層,一層 二層 三層 電梯樓梯間
RPWNMLOLOHLFFAP17DA,21,83.46,住家用,鋼筋混凝土造,84年3月1日,七層,四層
RPWNMLOLOHLFFAP17DA,21,10.89,共同部份,鋼筋混凝土造,84年3月1日,七層,
RPWNMLOLOHLFFAP17DA,21,15.05,共同部份,鋼筋混凝土造,84年3月1日,七層,
RPWNMLKMOHLFFDP07CA,14,266.68,見其他登記事項,鋼筋混凝土造,91年2月20日,五層,一層 二層 三層 四層 五層 水箱
RPSNMLTLOHLFFCP37CA,21,209.22,住家用,鋼筋混凝土造,84年2月20日,三層,一層 二層 三層 電梯樓梯間
RPQNMLKLOHLFFAP68CA,18,179.06,住家用,鋼筋混凝土造,87年11月15日,三層,一層 二層 三層 電梯樓梯間
RPQNMLSKOHLFFAP76CA,37,115.74,住商用,見其他登記事項,68年6月25日,二層,一層 二層 騎樓
RPRNMLSKOHLFFAP86CA,1,187.42,住家用,鋼筋混凝土造,104年4月19日,四層,一層 二層 三層 四層
RPTNMLLLOHLFFAP09CA,23,68.25,住家用,鋼筋混凝土造,82年2月23日,五層,三層
RPTNMLLLOHLFFAP09CA,23,10.14,共同部份,鋼筋混凝土造,82年2月23日,五層,
RPTNMLLLOHLFFCP66CA,18,198.66,住商用,鋼筋混凝土造,87年1月12日,四層,一層 二層 三層 四層 騎樓
RPPNMLLLOHLFFDP98CA,4,150.83,見其他登記事項,鋼筋混凝土造,101年9月26日,三層,一層 二層 三層 見其他登記事項
RPQNMLLLOHLFFDP09CA,38,96.40,住商用,加強磚造,67年6月18日,二層,一層 二層
RPPNMLNJPHLFFDP09CA,,146.98,住家用,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層
RPPNMLSLOHLFFDP07CA,25,230.62,住家用,鋼筋混凝土造,80年3月10日,三層,一層 二層 三層 電梯樓梯間
RPQNMLTLOHLFFDP27CA,3,206.96,見其他登記事項,鋼筋混凝土造,102年11月1日,三層,一層 二層 三層
RPRNMLTLOHLFFDP37CA,3,182.66,見其他登記事項,鋼筋混凝土造,102年11月1日,三層,一層 二層 三層
RPQNMLPJPHLFFEP86CA,9,197.50,住商用,鋼筋混凝土造,96年6月4日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLRLOHLFFCP27DA,22,180.67,住商用,鋼筋混凝土造,83年4月27日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQNMLKLPHLFFAP98EA,35,100.21,住家用,加強磚造,70年3月28日,二層,一層 二層 騎樓
RPRNMLMLOHLFFBP56DA,17,106.00,住家用,鋼筋混凝土造,88年7月10日,八層,七層
RPRNMLMLOHLFFBP56DA,17,27.49,共用部份,鋼筋混凝土造,88年7月10日,八層,
RPRNMLMLOHLFFBP56DA,17,11.58,共用部份,鋼筋混凝土造,88年7月10日,八層,
RPTNMLPKPHLFFAP96DA,20,185.14,住商用,鋼筋混凝土造,85年3月25日,四層,一層 二層 三層 四層
RPRNMLKLPHLFFAP98DA,17,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPRNMLKLPHLFFAP98DA,17,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPRNMLKLPHLFFAP98DA,17,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPSNMLMKPHLFFEP86CA,1,184.58,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPSNMLOLOHLFFEP07CA,35,99.01,住家用,加強磚造,70年1月28日,二層,一層 二層
RPQNMLMKPHLFFDP56CA,17,206.56,住家用,鋼筋混凝土造,88年10月18日,四層,一層 二層 三層 四層 水箱
RPXNMLKMOHLFFDP17CA,35,106.27,住商用,加強磚造,70年1月14日,二層,一層 二層 騎樓
RPRNMLMLOHLFFDP66CA,23,186.24,住家用,鋼筋混凝土造,82年5月10日,三層,一層 二層 三層 電梯樓梯間
SPRNMLMLOHLFFDP76CA,23,191.32,住家用,鋼筋混凝土造,82年5月10日,三層,一層 二層 三層 電梯樓梯間
RPTNMLMLOHLFFDP86CA,21,168.55,住家用,鋼筋混凝土造,84年5月2日,三層,一層 二層 三層 電梯樓梯間
RPPNMLNLOHLFFCP09CA,21,79.61,住家用,鋼筋混凝土造,84年1月27日,二層,一層 二層 電梯樓梯間
RPPNMLQLOHLFFCP76CA,1,89.35,見其他登記事項,鋼筋混凝土造,104年11月10日,三層,一層 二層 三層 見其他登記事項
RPPNMLQLOHLFFCP76CA,1,89.35,見其他登記事項,鋼筋混凝土造,104年11月10日,三層,一層 二層 三層 見其他登記事項
RPPNMLMLOHLFFAP78CA,1,215.40,見其他登記事項,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 屋頂突出物
RPSNMLPLOHLFFAP76CA,21,172.75,住商用,鋼筋混凝土造,84年5月8日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLSLOHLFFAP07CA,12,187.25,住家用,鋼筋混凝土造,93年3月1日,三層,一層 二層 三層 電梯樓梯間
RPQNMLTLPHLFFAP07CA,22,82.59,住家用,鋼筋混凝土造,83年1月10日,八層,五層
RPQNMLTLPHLFFAP07CA,22,32.42,共同部份,鋼筋混凝土造,83年1月10日,八層,
RPPNMLLKPHLFFBP78CA,2,225.01,見其他登記事項,鋼筋混凝土造,102年12月25日,三層,一層 二層 三層 見其他登記事項
RPQNMLLKPHLFFBP88CA,2,225.01,見其他登記事項,鋼筋混凝土造,102年12月25日,三層,一層 二層 三層 見其他登記事項
RPVNMLLKPHLFFAP66CA,24,184.11,住商用,鋼筋混凝土造,81年2月28日,五層,一層 二層 三層 四層 五層 騎樓
RPVNMLLKPHLFFAP66CA,24,194.53,住商用,鋼筋混凝土造,81年2月28日,五層,一層 二層 三層 四層 五層 騎樓
RPQNMLLKPHLFFAP78CA,1,185.77,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPQNMLNJPHLFFAP88CA,19,249.89,住商用,加強磚造,86年7月25日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPQNMLLLPHLFFAP88CA,10,246.66,見其他登記事項,鋼筋混凝土造,95年6月30日,四層,一層 二層 三層 四層 騎樓
RPPNMLRLOHLFFAP66CA,9,252.81,住商用,鋼筋混凝土造,96年5月3日,三層,一層 二層 三層 電梯樓梯間
RPUOMLNLOHLFFAP86CA,22,204.18,住家用,鋼筋混凝土造,83年11月15日,四層,一層 二層 三層 四層 電梯樓梯間
