編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLOLOHLFFBQ17CA,10,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,六層
RPVNMLOLOHLFFBQ17CA,10,5.79,共有部份,鋼筋混凝土造,95年8月28日,,
RPVNMLOLOHLFFBQ17CA,10,4.40,共有部份,鋼筋混凝土造,95年8月28日,,
RPQNMLQLOHLFFCQ96CA,33,90.39,住家用,鋼筋混凝土加強磚造,72年4月23日,二層,一層 二層
RPTNMLMKPHLFFBQ86DA,49,96.28,住家用,鋼筋混凝土加強磚造,56年1月15日,二層,
RPSNMLRKOHLFFDQ37DA,,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPSOMLTLOHLFFDQ67CA,,167.08,住家用,見其他登記事項,105年1月29日,三層,一層 二層 三層
RPSNMLKLOHLFFDQ66CA,1,155.30,住家用,鋼筋混凝土造,104年11月16日,三層,一層 二層 三層
RPQNMLLLOHLFFCQ09CA,21,173.43,住家用,鋼筋混凝土造,84年2月17日,三層,一層 二層 三層 電梯樓梯間
RPTNMLRJPHLFFBQ17CA,1,204.01,見其他登記事項,鋼筋混凝土造,104年7月20日,四層,
RPPNMLNKPHLFFCQ56CA,3,275.75,住家用,鋼筋混凝土造,102年7月22日,四層,一層 二層 三層 四層
RPWNMLLJPHLFFCQ96CA,4,210.38,住家用,鋼筋混凝土造,101年1月18日,三層,一層 二層 三層 電梯樓梯間
RPTNMLOLOHLFFCQ07CA,33,91.66,住家用,鋼筋混凝土造,72年9月26日,四層,三層 四層
RPTNMLOLOHLFFCQ07CA,33,24.77,共有部份,鋼筋混凝土造,72年9月26日,五層,
RPPNMLPLOHLFFCQ76CA,23,158.90,住家用,鋼筋混凝土造,82年11月2日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLLOHLFFDQ09CA,20,58.12,住家用,鋼筋混凝土造,84年12月4日,三層,一層 二層 三層
RPPNMLLLOHLFFDQ09CA,20,58.12,住家用,鋼筋混凝土造,84年12月4日,三層,一層 二層 三層
