編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLRKOHLFFAT07CA,37,112.00,住商用,加強磚造,68年5月29日,二層,一層 二層 騎樓
RPRNMLRKOHLFFAT17CA,1,203.19,住家用,鋼筋混凝土造,104年7月31日,三層,一層 二層 三層
RPSNMLRKOHLFFAT27CA,17,129.37,住家用,鋼筋混凝土造,88年3月10日,三層,一層 二層 三層
RPTOMLRKOHLFFAT47CA,34,93.48,見其他登記事項,,70年12月31日,五層,四層
RPTOMLRKOHLFFAT47CA,34,15.61,見其他登記事項,鋼筋混凝土造,70年12月31日,五層,
RPUOMLRKOHLFFAT57CA,34,125.17,住商用,鋼筋混凝土造,71年3月27日,三層,一層 二層 三層 騎樓
RPVOMLRKOHLFFAT67CA,22,90.07,見其他登記事項,鋼筋混凝土造,83年4月12日,十一層,十層
RPVOMLRKOHLFFAT67CA,22,21.74,見其他登記事項,鋼筋混凝土造,83年4月12日,十一層,
RPQNMLKLOHLFFAT09CA,10,158.36,住家用,鋼筋混凝土造,95年3月14日,三層,一層 二層 三層
RPTOMLKLOHLFFAT86CA,41,52.96,住家用,磚造,64年10月13日,一層,一層
RPTNMLLLOHLFFAT86CA,1,190.13,住家用,鋼筋混凝土造,104年10月12日,三層,一層 二層 三層 屋頂突出物
RPROMLLLOHLFFAT76CA,30,180.71,住商用,鋼筋混凝土造,75年3月5日,四層,一層 二層 三層 四層 騎樓
RPPNMLRJPHLFFAT96CA,1,134.41,住商用,鋼筋混凝土造,104年11月27日,三層,一層 二層 三層 屋頂突出物
RPPNMLRJPHLFFAT96CA,1,134.41,住商用,鋼筋混凝土造,104年11月27日,三層,一層 二層 三層 屋頂突出物
RPRNMLRKOHLFFCT37CA,21,87.64,住家用,鋼筋混凝土造,84年1月19日,十二層,十二層 電梯樓梯間
RPRNMLRKOHLFFCT37CA,21,7.59,見其他登記事項,鋼筋混凝土造,84年1月19日,十二層,
RPUNMLLJPHLFFCT07CA,21,126.71,住家用,鋼筋混凝土造,84年6月27日,三層,一層 二層 三層
RPROMLLJPHLFFCT86CA,12,168.48,見其他登記事項,鋼筋混凝土造,93年10月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLLKPHLFFCT86CA,20,82.21,住家用,鋼筋混凝土造,85年3月28日,十一層,九層
RPRNMLLKPHLFFCT86CA,20,43.36,見其他登記事項,鋼筋混凝土造,85年3月28日,十一層,
RPPNMLLLOHLFFDT76CA,25,141.40,住家用,加強磚造,80年5月24日,二層,一層 二層
RPSOMLNLOHLFFDT37CA,1,271.92,住家用,鋼筋混凝土構造,103年12月4日,四層,一層 二層 三層 四層
RPTNMLNKPHLFFET47CA,22,34.82,住家用,鋼筋混凝土造,83年7月9日,三層,三層
RPXNMLKLOHLFFAT27DA,20,200.18,住商用,鋼筋混凝土造,84年12月5日,四層,一層 二層 三層 四層 地下層
RPXNMLKLOHLFFAT27DA,20,17.45,見其他登記事項,鋼筋混凝土造,84年12月5日,四層,
RPPNMLSLOHLFFCT37CA,9,125.42,農舍,鋼筋混凝土造,96年7月26日,一層,一層
RPWNMLPJPHLFFAT47CA,23,96.69,見其他登記事項,鋼筋混凝土造,82年8月2日,十二層,六層
RPWNMLPJPHLFFAT47CA,23,25.02,見其他登記事項,鋼筋混凝土造,82年8月2日,十二層,
RPTNMLNKPHLFFAT07CA,1,186.77,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPVOMLLLOHLFFAT17CA,16,91.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,一層
RPVOMLLLOHLFFAT17CA,16,52.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWOMLLLOHLFFAT27CA,45,135.00,住家用,鋼筋混凝土加強磚造,60年10月28日,二層,一層 二層
RPVNMLMLOHLFFAT17CA,,105.50,住商用,鋼筋混凝土加強磚造,,二層,一層 二層
RPXNMLMLOHLFFAT37CA,23,263.83,住商用,鋼筋混凝土造,82年4月9日,四層,一層 二層 三層 四層 騎樓
RPQNMLLLOHLFFAT56CA,1,93.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 五層
RPQNMLLLOHLFFAT56CA,1,93.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 五層
RPRNMLLLOHLFFAT66CA,1,93.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPRNMLLLOHLFFAT66CA,1,93.46,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPSNMLLLOHLFFAT76CA,1,187.81,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPWOMLKLOHLFFAT17CA,16,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,七層
RPWOMLKLOHLFFAT17CA,16,20.17,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPRNMLKLOHLFFAT56CA,15,165.04,住家用,鋼筋混凝土造,90年4月6日,四層,一層 二層 三層 四層
RPVNMLKLOHLFFAT96CA,31,83.75,住家用,加強磚造,73年12月10日,二層,一層 二層
RPPOMLKLOHLFFAT09CA,1,186.92,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
RPPNMLKLOHLFFAT98CA,16,92.38,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十四層
RPPNMLKLOHLFFAT98CA,16,29.77,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPUOMLKLOHLFFAT96CA,17,63.42,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,一層
RPUOMLKLOHLFFAT96CA,17,23.05,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLLLOHLFFAT09CA,19,160.53,住家用,鋼筋混凝土造,86年6月2日,四層,一層 二層 三層 四層
RPPOMLLLOHLFFAT56CA,,79.04,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPPOMLMLOHLFFAT66CA,33,99.40,住家用,鋼筋混凝土造,72年4月10日,五層,四層
RPPOMLMLOHLFFAT66CA,33,15.69,見其他登記事項,鋼筋混凝土造,72年4月10日,五層,
RPVOMLMLOHLFFAT27CA,1,109.55,見其他登記事項,鋼筋混凝土造,104年11月27日,五層,四層
RPVOMLMLOHLFFAT27CA,1,33.39,見其他登記事項,鋼筋混凝土造,104年11月27日,五層,
RPWOMLMLOHLFFAT37CA,24,217.56,住商用,鋼筋混凝土造,81年7月31日,四層,一層 二層 三層 四層 騎樓
RPSOMLOKPHLFFAT17CA,22,212.56,見其他登記事項,鋼筋混凝土造,83年3月31日,一層,一層
RPTNMLTLPHLFFAT77CA,15,90.92,見其他登記事項,鋼筋混凝土造,90年1月18日,十三層,十三層
RPTNMLTLPHLFFAT77CA,15,25.87,見其他登記事項,鋼筋混凝土造,90年1月18日,十三層,
RPWNMLLLOHLFFCT37CA,24,133.30,住家用,鋼筋混凝土造,81年7月10日,三層,一層 二層 三層
RPPQMLLLOHLFFCT96CA,41,92.02,住商用,加強磚造,64年1月13日,二層,一層 二層 騎樓
RPVNMLNLOHLFFCT47CA,21,58.95,農舍,加強磚造,83年12月9日,一層,一層
RPVNMLNLOHLFFCT47CA,21,29.48,農舍,加強磚造,83年12月9日,一層,一層
RPVNMLNLOHLFFCT47CA,21,29.48,農舍,加強磚造,83年12月9日,一層,一層
RPRNMLOJPHLFFCT07CA,28,86.32,住家用,加強磚造,77年2月7日,一層,一層
RPPNMLMLOHLFFDT86CA,32,133.10,住宅,加強磚造,73年7月27日,二層,一層 二層
RPXNMLSLOHLFFDT28CA,3,283.37,廠房,鋼筋混凝土構造,102年3月8日,二層,一層 二層
RPPNMLPJPHLFFFT27CA,25,135.58,住家用,鋼筋混凝土造,80年1月16日,三層,一層 二層 三層
RPPNMLRLOHLFFET57DA,21,20.14,住家用,鋼筋混凝土造,84年7月10日,四層,四層
RPPNMLRLOHLFFET57DA,21,15.97,共同部份,鋼筋混凝土造,84年7月10日,四層,
RPPNMLTKPHLFFCT47CA,39,84.00,住家用,加強磚造,66年3月3日,二層,一層 二層
RPSPMLQJPHLFFCT57CA,2,219.23,見其他登記事項,見其他登記事項,103年10月23日,三層,一層 二層 三層 見其他登記事項
RPVNMLOKPHLFFCT57CA,51,58.00,住家用,見其他登記事項,54年2月1日,一層,一層 騎樓
RPPNMLPLOHLFFCT07CA,22,61.75,住家用,鋼筋混凝土造,83年7月23日,六層,三層
RPVOMLLLOHLFFCT37CA,35,73.20,住家用,加強磚造,70年3月18日,二層,一層 二層 夾層
RPQNMLMLOHLFFCT86CA,22,79.21,住家用,鋼筋混凝土造,83年11月9日,八層,一層 電梯樓梯間
RPQNMLMLOHLFFCT86CA,22,34.96,見其他登記事項,鋼筋混凝土造,83年11月9日,八層,
RPVOMLRJPHLFFAT67CA,32,89.04,見其他登記事項,鋼筋混凝土造,72年11月20日,五層,五層
RPVOMLRJPHLFFAT67CA,32,5.50,共同部份,鋼筋混凝土造,72年11月20日,五層,
RPVOMLRJPHLFFAT67CA,32,9.42,共同部份,鋼筋混凝土造,72年12月28日,五層,
RPQNMLLKPHLFFAT56CA,34,74.28,住家用,鋼筋混凝土造,71年10月30日,五層,五層
RPQNMLLKPHLFFAT56CA,34,11.98,國民住宅,鋼筋混凝土造,71年10月30日,五層,
RPTOMLNKPHLFFAT17CA,,73.36,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,二層
RPTOMLNKPHLFFAT17CA,,33.67,見其他登記事項,鋼筋混凝土造,105年2月26日,五層,
RPSNMLKMOHLFFAT76CA,17,99.38,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十層
RPSNMLKMOHLFFAT76CA,17,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPQNMLOJPHLFFAT76CA,23,86.53,住家用,鋼筋混凝土造,82年8月17日,六層,三層
RPQNMLOJPHLFFAT76CA,23,33.81,見其他登記事項,鋼筋混凝土造,82年8月17日,六層,
RPSOMLNLOHLFFAT07CA,32,169.40,住商用,鋼筋混凝土造,73年1月10日,三層,一層 二層 三層 騎樓 地下層
RPSOMLNLOHLFFAT07CA,32,169.40,住商用,鋼筋混凝土造,73年1月10日,三層,一層 二層 三層 騎樓 地下層
RPPNMLNLOHLFFAT66CA,34,95.30,住家用,加強磚造,71年6月12日,二層,一層 二層
RPOOMLMLOHLFFAT56CA,22,62.60,住家用,鋼筋混凝土造,83年1月26日,十層,五層
RPOOMLMLOHLFFAT56CA,22,23.42,見其他登記事項,鋼筋混凝土造,83年1月26日,十層,
RPROMLRJPHLFFAT27CA,19,114.09,住家用,鋼筋混凝土造,85年12月20日,十二層,七層
RPROMLRJPHLFFAT27CA,19,67.77,見其他登記事項,鋼筋混凝土造,85年12月20日,十二層,
RPPNMLLKPHLFFAT09CA,2,253.78,住家用,鋼筋混凝土造,103年9月5日,四層,一層 二層 三層 四層
RPPOMLRJPHLFFAT07CA,37,146.72,住家用,加強磚造,67年11月26日,二層,一層 二層
RPTOMLNLOHLFFCT37CA,22,191.65,住家用,鋼筋混凝土造,83年1月5日,四層,一層 二層 三層 四層
RPPNMLNLOHLFFCT86CA,12,173.54,住家用,鋼筋混凝土造,93年4月14日,三層,一層 二層 三層
RPSNMLLJPHLFFCT86CA,20,100.99,住家用,鋼筋混凝土造,85年3月28日,十一層,五層
RPSNMLLJPHLFFCT86CA,20,46.92,見其他登記事項,鋼筋混凝土造,85年3月28日,十一層,
RPPNMLSLOHLFFFT67CA,21,126.40,住家用,鋼筋混凝土造,84年4月1日,三層,一層 二層 三層
RPQNMLNLOHLFFET17CA,37,105.60,住商用,加強磚造,68年7月30日,二層,一層 二層 騎樓
RPPOMLSLOHLFFET67CA,36,80.64,住家用,鋼筋混凝土加強磚造,69年7月23日,二層,一層 二層
RPXNMLLKPHLFFDT57CA,,160.74,住家用,鋼筋混凝土構造,105年2月4日,三層,一層 二層 三層
RPPOMLLKPHLFFDT86CA,,160.74,住家用,鋼筋混凝土構造,105年2月4日,三層,一層 二層 三層
RPQOMLLKPHLFFDT96CA,,164.41,住家用,鋼筋混凝土構造,105年2月4日,三層,一層 二層 三層
RPRNMLRJPHLFFET67DA,24,148.78,住家用,鋼筋混凝土造,81年7月6日,三層,一層 二層 三層
RPRNMLMKPHLFFCT96CA,22,106.60,住家用,鋼筋混凝土造,83年7月19日,七層,七層
RPRNMLMKPHLFFCT96CA,22,59.18,見其他登記事項,鋼筋混凝土造,83年7月19日,七層,
RPPNMLOLOHLFFBT86CA,22,152.15,住家用,鋼筋混凝土造,83年3月30日,三層,一層 二層 三層
RPUOMLOKPHLFFAT37CA,16,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,二層
RPUOMLOKPHLFFAT37CA,16,24.01,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPPOMLLLPHLFFAT66CA,21,303.40,住家用,鋼筋混凝土造,84年7月18日,四層,一層 二層 三層 四層
RPRNMLMKPHLFFAT76CA,22,58.46,住家用,鋼筋混凝土造,83年8月27日,七層,五層
RPRNMLMKPHLFFAT76CA,22,10.89,見其他登記事項,鋼筋混凝土造,83年8月27日,七層,
RPSNMLMKPHLFFAT86CA,,66.38,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPUNMLOKPHLFFAT27CA,,211.54,住家用,鋼筋混凝土造,105年2月18日,三層,一層 二層 三層 屋頂突出物
RPROMLKLPHLFFAT76CA,1,190.91,住家用,鋼筋混凝土造,104年9月25日,三層,一層 二層 三層
RPQOMLOKPHLFFAT96CA,25,99.23,見其他登記事項,鋼筋混凝土造,80年8月12日,十層,十層
RPQOMLOKPHLFFAT96CA,25,46.04,共同部份,鋼筋混凝土造,80年8月12日,十層,
RPWNMLRLOHLFFCT97CA,37,30.00,住家用,加強磚造,68年4月10日,一層,一層
RPPNMLKMOHLFFCT66CA,35,169.67,住商用,加強磚造,70年2月19日,二層,一層 二層 騎樓
RPTNMLOJPHLFFCT27CA,22,58.73,住家用,鋼筋混凝土造,83年6月23日,四層,一層 二層 三層 四層
RPSNMLOKPHLFFCT27CA,29,440.67,見使用執照,見使用執照,76年8月11日,一層,一層
RPXPMLQJPHLFFCT08CA,12,11.92,見使用執照,鋼筋混凝土造,93年7月12日,六層,二層
RPXPMLQJPHLFFCT08CA,12,5.80,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPXPMLQJPHLFFCT08CA,12,1.12,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPXPMLQJPHLFFCT08CA,12,11.92,見使用執照,鋼筋混凝土造,93年7月12日,六層,六層
RPXPMLQJPHLFFCT08CA,12,5.62,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPXPMLQJPHLFFCT08CA,12,1.12,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPOQMLQJPHLFFCT27CA,43,129.43,住家用,鋼筋混凝土造,62年5月30日,三層,一層 二層 三層 騎樓
RPSNMLSLOHLFFCT77DA,48,34.27,住家用,見其他登記事項,,一層,一層
RPPNMLOJPHLFFET07CA,31,100.56,見其他登記事項,加強磚造,74年3月12日,二層,一層 二層
RPUNMLPJPHLFFDT57CA,20,82.18,見其他登記事項,鋼筋混凝土造,85年9月18日,十三層,五層
RPUNMLPJPHLFFDT57CA,20,12.09,見其他登記事項,鋼筋混凝土造,85年9月18日,,
RPUNMLPJPHLFFDT57CA,20,10.88,見其他登記事項,鋼筋混凝土造,85年9月18日,,
RPPNMLPKPHLFFDT17CA,,256.03,店舖、住宅,鋼筋混凝土構造,105年2月4日,四層,一層 二層 三層 四層
RPQNMLPKPHLFFDT27CA,,166.06,住宅,鋼筋混凝土構造,105年2月4日,三層,一層 二層 三層
RPPNMLKMOHLFFDT76CA,22,116.68,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,五層
RPPNMLKMOHLFFDT76CA,22,33.45,見其他登記事項,鋼筋混凝土造,83年6月25日,,
RPRNMLOJPHLFFDT17CA,22,85.77,店舖、住宅,鋼筋混凝土造,83年3月16日,四層,一層 二層 三層 四層
RPRNMLOJPHLFFDT17CA,22,85.77,店舖、住宅,鋼筋混凝土造,83年3月16日,四層,一層 二層 三層 四層
RPTNMLKLPHLFFAT96DA,9,13.91,住家用,鋼筋混凝土造,96年3月28日,五層,三層
RPTNMLKLPHLFFAT96DA,9,13.91,住家用,鋼筋混凝土造,96年3月28日,五層,三層
RPTNMLKLPHLFFAT96DA,9,13.15,見其他登記事項,鋼筋混凝土造,96年3月28日,五層,
RPRNMLKLPHLFFCT86CA,31,163.83,農舍,磚造,74年2月7日,一層,一層
RPRNMLSLOHLFFCT57CA,1,206.52,見其他登記事項,見其他登記事項,104年6月29日,三層,一層 二層 三層 見其他登記事項
RPWNMLSLOHLFFCT08CA,20,79.03,住家用,鋼筋混凝土造,85年1月31日,十二層,七層
RPWNMLSLOHLFFCT08CA,20,50.00,見其他登記事項,鋼筋混凝土造,85年1月31日,十二層,
RPROMLPKPHLFFAT17CA,2,196.13,住家用,鋼筋混凝土造,103年9月5日,三層,一層 二層 三層 屋頂突出物
RPQOMLRJPHLFFAT17CA,33,77.48,住家用,鋼筋混凝土造,72年3月15日,五層,五層
RPQOMLRJPHLFFAT17CA,33,.00,見其他登記事項,鋼筋混凝土造,72年3月15日,,
RPQOMLRJPHLFFAT17CA,33,.00,見其他登記事項,鋼筋混凝土造,72年5月16日,,
RPQOMLNKPHLFFAT86CA,9,190.60,住家用,鋼筋混凝土造,96年7月12日,三層,一層 二層 三層
RPUNMLQJPHLFFAT37CA,2,165.59,見其他登記事項,鋼筋混凝土造,102年12月27日,四層,一層 二層 三層 四層
RPPNMLKMOHLFFAT09CA,23,169.20,住家用,鋼筋混凝土造,82年1月19日,三層,一層 二層 三層
RPQOMLMKPHLFFAT76CA,1,262.41,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 屋頂突出物
RPXNMLMKPHLFFAT37CA,1,238.29,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 屋頂突出物
RPUNMLPKPHLFFAT37CA,1,87.56,住家用,鋼筋混凝土造,104年5月21日,三層,一層 二層 三層 屋頂突出物
