鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十三街1~30號,108.0,住,,,1050518,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690610,121.3,4,2,2,有,無,有,11000,91,,0.0,0,,RPOOMLQKOHLFFAU37EC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉華工六路92巷61~90號,129.39,,工業區,丁種建築用地,1050601,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0981103,198.7,3,2,4,有,無,無,22000,111,,0.0,0,,RPPOMLQKOHLFFAU47EC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美十一街1~30號,54.86,住,,,1050601,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850325,164.12,4,2,2,有,無,無,12000,73,,0.0,0,,RPVOMLRKOHLFFAU08DC
吉安鄉,土地,慈勝段721~750地號,6605.88,農,,,1050520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,3,,0.0,0,,RPPNMLKLOHLFFAU86EC
花蓮市,房地(土地+建物),花蓮縣花蓮巿明義街31~60號,18.75,商,,,1050601,土地2建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0700202,55.32,0,0,0,無,無,無,5000,90,,0.0,0,,RPOOMLKLOHLFFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛六街1~30號,30.27,住,,,1050525,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820909,117.46,3,2,2,有,有,有,13000,111,,0.0,0,,RPQPMLLLOHLFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿民權路91~120號,31.4,住,,,1050531,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0820629,102.42,0,0,1,有,無,有,20000,195,,0.0,0,,RPSPMLLLOHLFFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富十街121~150號,67.2,住,,,1050524,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850130,62.59,2,1,1,有,有,有,10000,160,,0.0,0,,RPTPMLLLOHLFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛六街31~60號,11.04,住,,,1050523,土地1建物1車位0,五層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830414,28.919999999999998,1,0,1,有,有,有,7000,242,,0.0,0,,RPUPMLLLOHLFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中央路三段721~750號,5.62,住,,,1050525,土地1建物1車位0,四層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840819,39.55,1,0,1,有,有,有,5000,126,,0.0,0,,RPVPMLLLOHLFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿德安一街223巷31~60號,69.0,住,,,1050620,土地2建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0681229,93.2,3,1,2,有,無,有,15000,161,,0.0,0,,RPTNMLMLOHLFFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中央路三段721~750號,5.62,住,,,1050620,土地1建物1車位0,七層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840819,32.55,1,1,1,有,無,有,6500,200,,0.0,0,,RPUNMLMLOHLFFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路301~330號,97.11,住,,,1050614,土地1建物1車位0,一層,1,店面(店鋪),,見其他登記事項,05801,75.99,0,0,0,無,無,無,20000,263,,0.0,0,,RPUOMLRLOHLFFAU08DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿長安街1~30號,5.7,住,,,1050613,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,42.32,0,0,0,無,有,有,7000,165,,0.0,0,,RPROMLTLOHLFFAU87CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中華路461巷1~30號,48.02,住,,,1050616,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690208,149.03,3,2,2,有,無,有,10000,67,,0.0,0,,RPUOMLTLOHLFFAU18CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉中興路31~60號,5.12,商,,,1050627,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850208,63.129999999999995,2,2,1,有,有,有,10000,158,,0.0,0,,RPOOMLKMOHLFFAU76CC
