¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]Â×ºa¸ô73«Ñ1~30¸¹,74.0,¦í,,,1050530,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0630701,53.11,2,1,1,¦³,µL,2600000,48955,,0.0,0,,RPPNMLQKOHLFFAV07CA
¨õ«n¶m,¤g¦a,¤W­ì¬q451~480¦a¸¹,87096.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,1050523,¤g¦a12«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,15000000,172,,0.0,0,,RPSOMLSLOHLFFAV77CA
©µ¥­¶m,¤g¦a,ªZ³®¬q541~570¦a¸¹,780.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,1050523,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,150000,192,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPQNMLRKOHLFFCV57DA
¦¨¥\Âí,¤g¦a,¥É´ä¬q871~900¦a¸¹,294.98,,­·´º°Ï,¹Aªª¥Î¦a,1050607,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,900000,3051,,0.0,0,,RPSNMLKMOHLFFBV07CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]§ó¥Í¥_¸ô841~870¸¹,109.78,¦í,,,1050530,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0660803,147.14,3,2,2,¦³,µL,3600000,24466,,0.0,0,,RPRNMLRKOHLFFAV37CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]¤¤¿³¸ô¤T¬q579«Ñ106§Ë1~30¸¹,73.98,¦í,,,1050605,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤@¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0650301,47.6,2,1,1,¦³,µL,1600000,33613,,0.0,0,,RPTNMLRKOHLFFAV57CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]Â×ºa¨½¤å¤ßµó1~30¸¹,24.15,¦í,,,1050607,¤g¦a2«Øª«1¨®¦ì0,¤@¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0840217,131.38,3,2,2,¦³,¦³,3900000,29685,,0.0,0,,RPOOMLKLOHLFFAV56CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]¤¯¤Kµó64«Ñ1§Ë1~30¸¹,40.42,¦í,,,1050521,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0721019,98.61,3,2,1,¦³,µL,2500000,25355,,0.0,0,,RPRNMLLLOHLFFAV86CA
¥xªF¥«,©Ð¦a(¤g¦a+«Øª«),»OªF¿¤»OªFÉ]¥Ì¬uµó91~120¸¹,136.0,¦í,,,1050510,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1040703,249.99,4,2,6,¦³,µL,15500000,62002,,0.0,0,,RPUNMLLLOHLFFAV17CA
©µ¥­¶m,¤g¦a,Æ}¤s¬q121~150¦a¸¹,2450.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,1050612,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,122500,50,,0.0,0,¿Ë¤ÍÃö«Y¶¡¤§¥æ©ö,RPQNMLLLOHLFFCV96CA
