編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQKOHLFFAV07CA,42,53.11,住家用,見其他登記事項,63年7月1日,一層,一層
RPRNMLRKOHLFFAV37CA,39,147.14,住家用,見其他登記事項,66年8月3日,二層,夾層 一層 二層 騎樓
RPTNMLRKOHLFFAV57CA,40,47.60,住家用,見其他登記事項,65年3月1日,一層,一層
RPOOMLKLOHLFFAV56CA,21,100.99,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,一層
RPOOMLKLOHLFFAV56CA,21,17.65,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPOOMLKLOHLFFAV56CA,21,12.74,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,
RPRNMLLLOHLFFAV86CA,33,93.83,見其他登記事項,鋼筋混凝土造,72年10月19日,四層,三層
RPRNMLLLOHLFFAV86CA,,4.78,見其他登記事項,見其他登記事項,,四層,
RPUNMLLLOHLFFAV17CA,1,249.99,見其他登記事項,見其他登記事項,104年7月3日,三層,一層 二層 三層 見其他登記事項
RPTNMLQJPHLFFAV47CA,20,86.57,見其他登記事項,鋼筋混凝土造,84年12月20日,七層,六層
RPTNMLQJPHLFFAV47CA,,32.96,見其他登記事項,鋼筋混凝土造,,七層,
RPSNMLLLOHLFFAV96CA,21,197.04,見其他登記事項,鋼筋混凝土造,84年1月28日,五層,一層 二層 三層 四層 五層
RPTNMLOJPHLFFAV37DA,43,101.03,住家用,見其他登記事項,62年9月21日,二層,一層 二層 騎樓
RPQNMLSKPHLFFCV67CA,,184.98,見其他登記事項,鋼筋混凝土造,104年12月18日,三層,一層 二層 三層
RPVNMLLLOHLFFAV27CA,39,96.58,住家用,見其他登記事項,66年6月18日,二層,一層 二層 騎樓
RPQNMLMLOHLFFAV86CA,20,933.45,住家用,加強磚造,84年10月9日,二層,一層 二層 騎樓
RPPNMLQLOHLFFCV37CA,34,123.90,住商用,加強磚造,71年11月19日,二層,一層 二層 屋頂突出物 騎樓
RPWOMLSLOHLFFAV18CA,21,29.44,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,二層
RPWOMLSLOHLFFAV18CA,21,7.61,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,
RPWOMLSLOHLFFAV18CA,21,7.38,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,
RPWOMLSLOHLFFAV18CA,21,1.71,共有部分,鋼筋混凝土造,84年2月21日,五層,
RPVNMLRLOHLFFAV87CA,,230.50,住家用,見其他登記事項,105年3月18日,三層,一層 二層 三層
RPWNMLRLOHLFFAV97CA,,230.58,住家用,見其他登記事項,105年3月18日,三層,一層 二層 三層
RPPNMLMLOHLFFAV76CA,37,119.76,住家用,加強磚造,68年6月26日,二層,一層 二層 騎樓
RPRNMLNLOHLFFAV07CA,31,155.51,住家用,鋼筋混凝土造,73年12月20日,三層,一層 二層 三層 騎樓
RPWNMLNLOHLFFAV57CA,21,197.04,見其他登記事項,鋼筋混凝土造,84年1月28日,五層,一層 二層 三層 四層 五層
RPPNMLLJPHLFFBV76DA,53,246.34,商業用,鋼筋混凝土造,51年11月2日,一層,一層 騎樓
RPPNMLLJPHLFFBV76DA,40,328.30,見其他登記事項,鋼筋混凝土加強磚造,64年11月1日,一層,一層 騎樓
RPVNMLNLOHLFFAV47CA,20,345.40,見其他登記事項,鋼筋混凝土造,84年12月11日,三層,三層 地下層 一層 二層
RPVNMLNLOHLFFAV47CA,20,42.64,見其他登記事項,鋼筋混凝土造,84年12月11日,三層,
RPPNMLLJPHLFFAV56CA,22,102.02,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,四層
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,102.02,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,四層
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,3.58,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLLJPHLFFAV56CA,22,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
