編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLQKOHLFFAV07CA,豐榮段,74.00,都市：住
RPSOMLSLOHLFFAV77CA,上原段,11925.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,1639.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,1589.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,7810.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,4589.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,19655.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,11977.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,389.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,2650.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,10100.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,890.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLSLOHLFFAV77CA,上原段,13883.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLRKOHLFFCV57DA,武陵段,780.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKMOHLFFBV07CA,玉港段,72.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKMOHLFFBV07CA,玉港段,222.21,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLRKOHLFFAV37CA,北南王段,109.78,都市：住
RPTNMLRKOHLFFAV57CA,豐航段,73.98,都市：住
RPOOMLKLOHLFFAV56CA,東海段,22.69,都市：住
RPOOMLKLOHLFFAV56CA,東海段,1.46,都市：住
RPRNMLLLOHLFFAV86CA,馬蘭段,40.42,都市：住
RPUNMLLLOHLFFAV17CA,自強段,136.00,都市：住
RPQNMLLLOHLFFCV96CA,鸞山段,2450.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLKLOHLFFBV66CA,小馬東段,2718.49,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLMLOHLFFBV86CA,成功段,33.10,都市：住
RPPNMLMLOHLFFBV86CA,成功段,49.32,都市：農
RPPNMLMLOHLFFBV86CA,成功段,31.51,都市：工
RPTNMLQJPHLFFAV47CA,常德段,21.20,都市：住
RPSNMLLLOHLFFAV96CA,豐康段,79.70,都市：住
RPQNMLLLOHLFFAV76CA,建華段,3007.40,都市：農
RPRNMLMLOHLFFAV96CA,射馬干段,1793.09,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLLOHLFFCV86CA,北庄段,2814.16,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLSKPHLFFBV97DA,加走灣段,3929.12,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLKLPHLFFCV07DA,牧野段,128.02,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLNLOHLFFCV27DA,水墜段,603.93,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLNLOHLFFCV27DA,水墜段,731.80,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLOJPHLFFAV37DA,台東段,13.00,都市：住
RPTNMLOJPHLFFAV37DA,台東段,67.00,都市：住
RPQNMLSKPHLFFCV67CA,豐泉段,213.09,都市：住
RPVNMLLLOHLFFAV27CA,光明段,76.00,都市：住
RPQNMLMLOHLFFAV86CA,順天段,1884.33,都市：住
RPQNMLMLOHLFFAV86CA,順天段,2.01,都市：住
RPQNMLMLOHLFFAV86CA,順天段,354.33,都市：其他
RPQNMLMLOHLFFAV86CA,順天段,26.33,都市：住
RPQNMLMLOHLFFAV86CA,順天段,7.22,都市：住
RPQNMLMLOHLFFAV86CA,順天段,29.67,都市：其他
RPQNMLMLOHLFFAV86CA,順天段,102.00,都市：住
RPQNMLMLOHLFFAV86CA,順天段,287.98,都市：其他
RPQNMLMLOHLFFAV86CA,順天段,1116.21,都市：住
RPQNMLMLOHLFFAV86CA,順天段,194.82,都市：住
RPROMLSLOHLFFAV67CA,利家段,7227.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMLOHLFFBV96CA,成功段,7.98,都市：住
RPQNMLOLOHLFFCV27CA,豐泉段,148.98,都市：住
RPPNMLQLOHLFFCV37CA,福原段,65.46,都市：商
RPWOMLSLOHLFFAV18CA,馬蘭段,10.98,都市：住
RPVNMLRLOHLFFAV87CA,中清段,124.68,都市：住
RPWNMLRLOHLFFAV97CA,中清段,125.08,都市：住
RPPNMLMLOHLFFAV76CA,豐榮段,91.00,都市：住
RPRNMLNLOHLFFAV07CA,建興段,93.00,都市：住
RPSNMLNLOHLFFAV17CA,利家段,2774.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNLOHLFFAV57CA,豐康段,80.00,都市：住
RPUNMLNLOHLFFAV47DA,梅園段,34.10,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLOLOHLFFCV27DA,瑞豐段,171.69,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOLOHLFFDV57DA,介達段,1095.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTLOHLFFDV77CA,尚武段,99.92,都市：住
RPQNMLOLOHLFFDV37CA,嘉新段,251.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
