鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下1~30號,57.57,其他,,,1050510,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050401,90.32,3,2,1,有,無,8300000,91895,,0.0,0,,RPUNMLRKOHLFFAW77CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下1~30號,50.97,其他,,,1050520,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050401,80.22,3,2,2,有,無,5000000,62329,,0.0,0,,RPTNMLKLOHLFFAW07CA
金湖鎮,房地(土地+建物),金門縣金湖鎮環島南路塔后段3巷1~30號,131.87,住,,,1050516,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0961224,241.51,5,2,4,有,無,12000000,49687,,0.0,0,,RPRNMLMLOHLFFAW07CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,11.27,住,,,1050419,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,61.269999999999996,1,2,1,有,有,4150000,67733,,0.0,0,,RPWNMLPJPHLFFAW77CA
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮市港三路211~240號,12.52,住,,,1050408,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,98.49000000000001,1,2,1,有,有,5000000,65063,坡道平面,32.4,700000,車位土地持分20/100000，面積0.35平方公尺。車位公設持分626/100000，面積32.4平方公尺。,RPXNMLPJPHLFFAW87CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,11.08,住,,,1050526,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,61.73,1,2,1,有,有,4500000,72898,,0.0,0,,RPOOMLPJPHLFFAW07CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,12.17,住,,,1050526,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,66.08,1,2,1,有,有,4750000,71883,,0.0,0,,RPPOMLPJPHLFFAW17CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,12.17,住,,,1050518,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041125,66.08,1,2,1,有,有,4550000,68856,,0.0,0,,RPQOMLPJPHLFFAW27CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城151~180號,79.79,其他,,,1050526,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050205,128.16,3,2,2,有,無,6000000,46816,,0.0,0,,RPRNMLLLOHLFFAW96CA
金城鎮,房地(土地+建物),金門縣金城鎮金門城151~180號,79.79,其他,,,1050526,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050205,128.16,3,2,2,有,無,6000000,46816,,0.0,0,,RPSNMLLLOHLFFAW07CA
