編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLRKOHLFFAW77CA,,80.13,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,一層
RPUNMLRKOHLFFAW77CA,,10.19,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPTNMLKLOHLFFAW07CA,,74.09,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,一層
RPTNMLKLOHLFFAW07CA,,6.13,見其他登記事項,鋼筋混凝土造,105年4月1日,三層,
RPRNMLMLOHLFFAW07CA,8,241.51,住家用,鋼筋混凝土造,96年12月24日,三層,一層 二層 三層 屋頂突出物
RPWNMLPJPHLFFAW77CA,,38.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,三層
RPWNMLPJPHLFFAW77CA,,22.98,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPXNMLPJPHLFFAW87CA,,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,四層
RPXNMLPJPHLFFAW87CA,,57.20,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPOOMLPJPHLFFAW07CA,1,39.37,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,八層
RPOOMLPJPHLFFAW07CA,1,22.36,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPPOMLPJPHLFFAW17CA,1,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,六層
RPPOMLPJPHLFFAW17CA,1,24.79,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPQOMLPJPHLFFAW27CA,,41.29,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,六層
RPQOMLPJPHLFFAW27CA,,24.79,見其他登記事項,鋼筋混凝土造,104年11月25日,八層,
RPRNMLLLOHLFFAW96CA,,121.54,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,三層
RPRNMLLLOHLFFAW96CA,,6.62,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,
RPSNMLLLOHLFFAW07CA,,121.54,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,三層
RPSNMLLLOHLFFAW07CA,,6.62,見其他登記事項,鋼筋混凝土造,105年2月5日,三層,
RPPNMLKLOHLFFAW66CA,,67.24,見其他登記事項,鋼筋混凝土造,104年12月30日,三層,二層
RPPNMLKLOHLFFAW66CA,,4.42,見其他登記事項,鋼筋混凝土造,104年12月30日,三層,
RPRNMLKLOHLFFAW96DA,,94.56,見其他登記事項,鋼筋混凝土造,104年12月10日,三層,三層
RPRNMLKLOHLFFAW96DA,,5.02,見其他登記事項,鋼筋混凝土造,104年12月10日,三層,
RPQNMLMKPHLFFAW96CA,3,77.78,見其他登記事項,鋼筋混凝土造,102年10月8日,三層,三層
RPQNMLMKPHLFFAW96CA,3,6.24,見其他登記事項,鋼筋混凝土造,102年10月8日,三層,
RPXNMLMLOHLFFAW67CA,1,164.16,見其他登記事項,鋼筋混凝土造,104年5月8日,三層,一層 二層 三層
RPPNMLSLOHLFFAW47CA,,116.31,見其他登記事項,鋼筋混凝土造,104年12月2日,三層,二層
