鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
白沙鄉,土地,後寮段2911~2940地號,1290.51,,一般農業區,農牧用地,1050520,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,504,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLLLOHLFFAX86CA
白沙鄉,土地,後寮段541~570地號,863.0,,一般農業區,農牧用地,1050610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1430000,1657,,0.0,0,急買急賣。,RPQNMLMLOHLFFAX07CA
馬公市,房地(土地+建物),澎湖縣馬公巿?頭掛1~30號,124.5,,一般農業區,農牧用地,1050608,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,,5.9,2,1,2,有,無,294000,49831,,0.0,0,承買人二人為共有人,RPRNMLLLOHLFFAX07CA
馬公市,土地,風櫃西段1291~1320地號,1333.07,,一般農業區,農牧用地,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20560000,15423,,0.0,0,,RPPNMLRLOHLFFAX47CA
馬公市,土地,文寮段31~60地號,223.26,,一般農業區,甲種建築用地,1050603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4280000,19170,,0.0,0,,RPPNMLPKPHLFFAX27CA
馬公市,土地,文寮段31~60地號,224.99,,一般農業區,甲種建築用地,1050603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4220000,18756,,0.0,0,,RPQNMLPKPHLFFAX37CA
馬公市,土地,興仁南段271~300地號,1005.53,,一般農業區,農牧用地,1050615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1989,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLMKPHLFFAX17EA
馬公市,土地,五德東段541~570地號,319.05,,一般農業區,農牧用地,1050516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,599814,1880,,0.0,0,,RPTNMLKMOHLFFAX37DA
馬公市,房地(土地+建物),澎湖縣馬公巿貿商街121~150號,30.6,住,,,1050530,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950710,188.19,3,2,2,有,有,4600000,24443,,0.0,0,,RPTNMLMLOHLFFAX37CA
馬公市,土地,海堤段1051~1080地號,117.52,住,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1065000,9062,,0.0,0,,RPPNMLQLOHLFFAX37CA
馬公市,土地,五福段61~90地號,485.25,,一般農業區,農牧用地,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6030000,12427,,0.0,0,,RPRNMLOKPHLFFAX37CA
馬公市,土地,文寮段661~690地號,3.73,,鄉村區,乙種建築用地,1050518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75682,20290,,0.0,0,向政府機關承購之案件。,RPQNMLKLPHLFFAX17EA
馬公市,土地,中衛段1561~1590地號,1853.01,,一般農業區,農牧用地,1050523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,8095,,0.0,0,,RPOOMLMKPHLFFAX96CA
七美鄉,土地,大嶼段5641~5670地號,23.0,,一般農業區,農牧用地,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,3478,,0.0,0,,RPQNMLKMOHLFFAX96CA
馬公市,房地(土地+建物),澎湖縣馬公巿鎖管港301~330號,105.69,住,,,1050531,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050420,235.85,5,1,6,有,無,7380000,31291,,0.0,0,,RPSNMLMJPHLFFAX27DA
湖西鄉,土地,紅羅段541~570地號,674.17,,一般農業區,農牧用地,1050620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1688000,2504,,0.0,0,,RPPNMLQJPHLFFAX27CA
馬公市,土地,鎖港西段121~150地號,102.65,住,,,1050617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,8768,,0.0,0,,RPQNMLLJPHLFFAX86CA
馬公市,房地(土地+建物)+車位,澎湖縣馬公巿文光路168巷31~60號,29.49,住,,,1050603,土地2建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821015,129.94,3,2,2,有,無,3900000,30014,坡道平面,0.0,0,,RPQNMLQJPHLFFAX47DA
